perturbagen,treatment,cellline,similarity
Fluoxetine,NFKB2,VCAP,-0.5616
Fluoxetine,IL6,VCAP,0.6372
Fluoxetine,TNF,VCAP,0.2041
Fluoxetine,RELB,VCAP,0.5511
Fluoxetine,IL6ST,VCAP,-0.5362
Fluoxetine,NFKB1,VCAP,0.5276
Fluoxetine,REL,VCAP,0.2122
Bupropion,RELB,VCAP,0.2814
Bupropion,IL6,VCAP,0.3841
Bupropion,NFKB2,VCAP,0.6059
Bupropion,IL6ST,VCAP,0.5337
Bupropion,NFKB1,VCAP,-0.5066
Bupropion,REL,VCAP,0.2887
Bupropion,TNF,VCAP,0.312
Paroxetine,RELB,VCAP,0.4354
Paroxetine,IL6ST,VCAP,0.5182
Paroxetine,TNF,VCAP,0.3334
Paroxetine,NFKB2,VCAP,0.494
Paroxetine,IL6,VCAP,0.5127
Paroxetine,REL,VCAP,0.3899
Paroxetine,NFKB1,VCAP,0.4696
Dexamethasone,RELB,VCAP,0.4723
Dexamethasone,IL6,VCAP,0.5255
Dexamethasone,REL,VCAP,0.2687
Dexamethasone,NFKB2,VCAP,0.6165
Dexamethasone,IL6ST,VCAP,0.6048
Dexamethasone,TNF,VCAP,0.4926
Dexamethasone,NFKB1,VCAP,0.5726
Chloroquine,IL6,VCAP,0.4573
Chloroquine,TNF,VCAP,0.5184
Chloroquine,REL,VCAP,0.491
Chloroquine,NFKB1,VCAP,0.7148
Chloroquine,IL6ST,VCAP,-0.5574
Chloroquine,NFKB2,VCAP,-0.5206
Chloroquine,RELB,VCAP,0.5152
