similarity,pValue,nGenes,treatment,perturbagenID,time,signatureid,cellline,Source_Signature,perturbagen
0.525,3.9046e-30,406,STAT5A,CGS001-6776,96 h,LINCSKD_20631,HT29,LINCSCP_118647,Fluoxetine
0.3278,1.2639e-11,406,REL,CGS001-5966,96 h,LINCSKD_20280,HT29,LINCSCP_118647,Fluoxetine
0.4021,1.4923e-13,312,STAT6,CGS001-6778,144 h,LINCSKD_22006,MCF7,LINCSCP_135224,Fluoxetine
0.2774,6.4339e-7,312,IKBKB,CGS001-3551,96 h,LINCSKD_23148,MCF7,LINCSCP_135224,Fluoxetine
0.3493,4.9404e-8,231,STAT4,CGS001-6775,96 h,LINCSKD_28827,PC3,LINCSCP_153434,Fluoxetine
0.5665,1.2686e-27,309,JAK1,CGS001-3716,96 h,LINCSKD_27721,PC3,LINCSCP_153437,Fluoxetine
0.5302,8.4688e-24,309,IKBKB,CGS001-3551,96 h,LINCSKD_27650,PC3,LINCSCP_153437,Fluoxetine
0.7982,1.632e-88,395,IL6ST,CGS001-3572,96 h,LINCSKD_1545,A375,LINCSCP_178120,Fluoxetine
-0.7166,1.7632e-63,395,SOCS4,CGS001-122809,96 h,LINCSKD_2997,A375,LINCSCP_178120,Fluoxetine
0.6705,6.7653e-53,395,SOCS2,CGS001-8835,96 h,LINCSKD_2995,A375,LINCSCP_178120,Fluoxetine
0.6558,6.4604e-50,395,STAT6,CGS001-6778,96 h,LINCSKD_3068,A375,LINCSCP_178120,Fluoxetine
0.63,4.4341e-45,395,REL,CGS001-5966,96 h,LINCSKD_2674,A375,LINCSCP_178120,Fluoxetine
0.5984,9.9567e-40,395,STAT5A,CGS001-6776,96 h,LINCSKD_3066,A375,LINCSCP_178120,Fluoxetine
0.4532,2.7882e-15,274,JAK2,CGS001-3717,96 h,LINCSKD_1613,A375,LINCSCP_184,Fluoxetine
0.3478,3.2699e-9,274,JAK3,CGS001-3718,96 h,LINCSKD_1614,A375,LINCSCP_184,Fluoxetine
