perturbagen,cellline,similarity
Fluoxetine,A375,0.207
Chloroquine,A375,0.233
Bupropion,A375,0.2602
Dexamethasone,A375,0.3019
Pyrrolidine Dithiocarbamate,A375,0.4853
Paroxetine,A549,-0.4401
Fluoxetine,A549,-0.3724
Pyrrolidine Dithiocarbamate,A549,0.4269
Chloroquine,A549,0.4313
Dexamethasone,A549,0.5059
Rolipram,A549,0.5683
Paroxetine,HA1E,0.501
Chloroquine,HA1E,0.5026
Rolipram,HA1E,0.555
Bupropion,HA1E,0.5618
Dexamethasone,HA1E,0.5663
Fluoxetine,HA1E,0.7002
Dexamethasone,HCC515,0.2748
Paroxetine,HCC515,0.3225
Chloroquine,HCC515,0.3362
Rolipram,HCC515,0.4602
Bupropion,HEKTE,0.2141
Dexamethasone,HEKTE,0.2333
Pyrrolidine Dithiocarbamate,HEKTE,0.2696
Rolipram,HEKTE,0.2782
Fluoxetine,HEKTE,0.3599
Dexamethasone,HEPG2,-0.389
Fluoxetine,HEPG2,0.3521
Paroxetine,HEPG2,0.3635
Pyrrolidine Dithiocarbamate,HEPG2,0.4069
Chloroquine,HEPG2,0.4223
Bupropion,HEPG2,0.4681
Rolipram,HEPG2,0.5012
Paroxetine,HT29,0.2954
Dexamethasone,HT29,0.3496
Pyrrolidine Dithiocarbamate,MCF7,0.4013
Bupropion,MCF7,0.4229
Rolipram,MCF7,0.4492
Paroxetine,MCF7,0.5194
Chloroquine,MCF7,0.5608
Fluoxetine,MCF7,0.5718
Dexamethasone,MCF7,0.5763
Fluoxetine,PC3,-0.314
Pyrrolidine Dithiocarbamate,PC3,-0.2794
Rolipram,PC3,0.2617
Bupropion,PC3,0.2733
Dexamethasone,PC3,0.3223
Paroxetine,PC3,0.3646
Chloroquine,PC3,0.3983
Fluoxetine,SW480,-0.2159
Paroxetine,SW480,0.3006
Dexamethasone,SW480,0.3486
Pyrrolidine Dithiocarbamate,SW480,0.4229
Fluoxetine,VCAP,0.22
Dexamethasone,VCAP,0.3026
Chloroquine,VCAP,0.3458
Paroxetine,VCAP,0.3894
Rolipram,VCAP,0.5433
