"","cellline","Bupropion","Chloroquine","Dexamethasone","Fluoxetine","Paroxetine","Pyrrolidine Dithiocarbamate","Rolipram"
"1","A375",0.5969,0.4592,-0.499,0.63,0.5243,0.3405,0.5301
"2","A549",0.2283,0.3994,0.2888,NA,0.4141,NA,NA
"3","HA1E",0.6225,0.5606,0.6487,0.7238,0.5744,NA,0.5702
"4","HCC515",0.4664,0.5492,0.5315,-0.3507,0.322,0.5166,0.4775
"5","HEKTE",0.3943,0.4454,0.206,0.2918,0.2639,NA,-0.2023
"6","HEPG2",0.5932,0.4567,0.4085,NA,0.4218,0.2647,0.2639
"7","HT29",0.3195,0.495,0.5338,0.3278,0.397,NA,0.4939
"8","MCF7",0.4677,0.4414,0.3185,0.5272,0.5267,0.5583,0.4
"9","PC3",0.5079,0.4805,0.6091,0.6485,-0.5508,0.3539,0.4966
"10","SW480",0.4171,0.3594,0.3054,0.3216,0.3164,NA,0.5022
"11","VCAP",0.2887,0.491,0.2687,0.2122,0.3899,0.4106,0.4559
