perturbagen,treatment,cellline,similarity
Fluoxetine,REL,PC3,0.6485
Bupropion,IL6R,PC3,0.4439
Bupropion,TNF,PC3,0.2868
Bupropion,REL,PC3,0.4784
Paroxetine,NFKB1,PC3,-0.3243
Paroxetine,IL6R,PC3,0.3529
Paroxetine,NFKB2,PC3,0.2214
Paroxetine,REL,PC3,0.4403
Paroxetine,RELB,PC3,0.3738
Paroxetine,IL6,PC3,0.3531
Dexamethasone,RELA,PC3,0.2158
Dexamethasone,RELB,PC3,-0.2091
Dexamethasone,IL6R,PC3,0.4032
Dexamethasone,REL,PC3,0.369
Dexamethasone,NFKB2,PC3,0.2887
Dexamethasone,TNF,PC3,0.4728
Chloroquine,NFKB1,PC3,0.5247
Chloroquine,TNF,PC3,0.4432
