perturbagen,treatment,cellline,similarity
Fluoxetine,STAT6,NPC,0.4245
Fluoxetine,IKBKB,NPC,0.3362
Fluoxetine,IKBKE,NPC,0.4528
Fluoxetine,IKBKG,NPC,0.6142
Fluoxetine,STAT1,NPC,0.5967
Fluoxetine,SOCS2,NPC,0.3394
Fluoxetine,IKBKAP,NPC,0.482
Fluoxetine,RELB,NPC,0.3876
Bupropion,STAT1,NPC,0.5081
Bupropion,RELB,NPC,0.4642
Bupropion,IKBKB,NPC,0.2807
Bupropion,IKBKG,NPC,0.5548
Bupropion,IKBKE,NPC,0.424
Bupropion,SOCS2,NPC,0.3918
Paroxetine,IKBKAP,NPC,0.3209
Paroxetine,IKBKE,NPC,0.431
Paroxetine,STAT1,NPC,0.5114
Paroxetine,STAT6,NPC,0.385
Paroxetine,IKBKG,NPC,0.4836
Paroxetine,RELB,NPC,0.5472
Paroxetine,SOCS2,NPC,0.4574
Paroxetine,IKBKB,NPC,0.3444
Dexamethasone,IKBKB,NPC,0.3436
Dexamethasone,IKBKE,NPC,0.4556
Dexamethasone,IKBKG,NPC,0.6172
Dexamethasone,RELB,NPC,0.5814
Dexamethasone,STAT1,NPC,0.5811
Dexamethasone,STAT6,NPC,0.4741
Dexamethasone,SOCS2,NPC,0.5035
Dexamethasone,IKBKAP,NPC,-0.4633
Chloroquine,IKBKE,NPC,0.6537
Chloroquine,IKBKB,NPC,0.5209
Chloroquine,RELB,NPC,0.5388
Chloroquine,STAT1,NPC,0.4625
Chloroquine,IKBKG,NPC,0.5736
Chloroquine,SOCS2,NPC,0.5116
Chloroquine,STAT6,NPC,0.4077
Pyrrolidine Dithiocarbamate,STAT6,NPC,0.4099
Pyrrolidine Dithiocarbamate,IKBKAP,NPC,0.396
Pyrrolidine Dithiocarbamate,STAT1,NPC,0.3959
Pyrrolidine Dithiocarbamate,RELB,NPC,0.408
Pyrrolidine Dithiocarbamate,IKBKG,NPC,-0.3929
Rolipram,IKBKE,NPC,0.5973
Rolipram,SOCS2,NPC,0.4901
Rolipram,RELB,NPC,0.5861
Rolipram,STAT1,NPC,0.5504
Rolipram,STAT6,NPC,0.5301
Rolipram,IKBKG,NPC,0.636
Rolipram,IKBKB,NPC,0.218
