perturbagen,cellline,similarity
Fluoxetine,A375,-0.7166
Bupropion,A375,-0.5735
Rolipram,A375,-0.5433
Paroxetine,A375,-0.482
Pyrrolidine Dithiocarbamate,A375,0.4852
Dexamethasone,A375,0.5825
Chloroquine,A375,0.6339
Rolipram,HA1E,0.2612
Paroxetine,HA1E,0.2868
Fluoxetine,HA1E,0.3067
Chloroquine,HA1E,0.3701
Dexamethasone,HCC515,0.2379
Paroxetine,HCC515,0.2443
Fluoxetine,HCC515,0.2759
Bupropion,HCC515,0.2905
Rolipram,HCC515,0.318
Fluoxetine,HT29,0.3869
Bupropion,HT29,0.422
Pyrrolidine Dithiocarbamate,HT29,0.4546
Paroxetine,HT29,0.4836
Rolipram,HT29,0.5926
Chloroquine,HT29,0.6154
Dexamethasone,HT29,0.6173
Paroxetine,MCF7,0.3145
Dexamethasone,MCF7,0.3537
Fluoxetine,MCF7,0.3685
Rolipram,MCF7,0.481
Chloroquine,MCF7,0.7477
Paroxetine,PC3,0.2314
Dexamethasone,PC3,0.2712
Bupropion,PC3,0.2796
Rolipram,PC3,0.3965
Chloroquine,PC3,0.398
Pyrrolidine Dithiocarbamate,VCAP,0.2999
Bupropion,VCAP,0.5742
Paroxetine,VCAP,0.5824
Chloroquine,VCAP,0.6352
Fluoxetine,VCAP,0.6405
Rolipram,VCAP,0.7412
Dexamethasone,VCAP,0.7536
