perturbagen,cellline,similarity
Dexamethasone,A375,0.2627
Fluoxetine,A375,0.263
Paroxetine,A375,0.3003
Rolipram,A375,0.34
Chloroquine,A375,0.3543
Bupropion,A375,0.4402
Dexamethasone,A549,-0.4731
Fluoxetine,A549,-0.4096
Paroxetine,A549,-0.3648
Pyrrolidine Dithiocarbamate,A549,0.3991
Chloroquine,A549,0.4212
Rolipram,A549,0.5027
Bupropion,A549,0.5352
Fluoxetine,HA1E,-0.6056
Paroxetine,HA1E,-0.4601
Bupropion,HA1E,-0.4209
Pyrrolidine Dithiocarbamate,HA1E,0.4271
Rolipram,HA1E,0.4423
Dexamethasone,HA1E,0.5411
Chloroquine,HA1E,0.5493
Dexamethasone,MCF7,0.3107
Fluoxetine,MCF7,0.3279
Chloroquine,MCF7,0.3471
Paroxetine,MCF7,0.4141
Rolipram,MCF7,0.4622
Fluoxetine,PC3,0.2844
Paroxetine,PC3,0.4199
Dexamethasone,PC3,0.4249
Chloroquine,PC3,0.4868
Rolipram,PC3,0.5905
Chloroquine,VCAP,-0.5223
Fluoxetine,VCAP,0.4454
Paroxetine,VCAP,0.5014
Rolipram,VCAP,0.5517
Dexamethasone,VCAP,0.597
Bupropion,VCAP,0.6848
