perturbagen,treatment,cellline,similarity
Fluoxetine,SOCS5,HCC515,-0.2988
Fluoxetine,SOCS2,HCC515,0.2547
Bupropion,IL6,HCC515,0.3864
Paroxetine,IKBKB,HCC515,-0.4677
Paroxetine,STAT1,HCC515,0.4274
Paroxetine,IL6ST,HCC515,0.3616
Paroxetine,SOCS2,HCC515,-0.4708
Dexamethasone,IL6ST,HCC515,0.2196
Dexamethasone,STAT5A,HCC515,0.2372
Dexamethasone,SOCS5,HCC515,0.2331
Dexamethasone,SOCS2,HCC515,-0.2382
Dexamethasone,IKBKE,HCC515,0.2509
Dexamethasone,STAT1,HCC515,0.3393
Dexamethasone,STAT3,HCC515,0.2748
Chloroquine,REL,HCC515,0.4292
Chloroquine,RELB,HCC515,0.378
Chloroquine,SOCS2,HCC515,0.6032
Pyrrolidine Dithiocarbamate,SOCS2,HCC515,0.5859
Pyrrolidine Dithiocarbamate,REL,HCC515,0.5166
Pyrrolidine Dithiocarbamate,RELB,HCC515,0.4648
Pyrrolidine Dithiocarbamate,SOCS5,HCC515,-0.3952
Pyrrolidine Dithiocarbamate,STAT1,HCC515,0.2436
Pyrrolidine Dithiocarbamate,TNF,HCC515,0.2418
Pyrrolidine Dithiocarbamate,STAT5A,HCC515,0.2129
Rolipram,REL,HCC515,0.3416
Rolipram,IL6,HCC515,0.3336
Rolipram,SOCS2,HCC515,0.5606
Rolipram,STAT6,HCC515,0.4548
