perturbagen,treatment,cellline,similarity
Fluoxetine,NFKB1,A549,0.3313
Fluoxetine,IKBKG,A549,0.2971
Fluoxetine,JAK2,A549,0.2764
Fluoxetine,RELB,A549,0.2602
Fluoxetine,IKBKB,A549,0.3153
Fluoxetine,STAT3,A549,-0.2828
Fluoxetine,STAT2,A549,-0.2776
Bupropion,JAK1,A549,0.6557
Bupropion,IL6ST,A549,0.6458
Bupropion,NFKB2,A549,0.5754
Bupropion,IKBKE,A549,0.4868
Bupropion,STAT1,A549,0.4844
Bupropion,IKBKB,A549,0.479
Paroxetine,IKBKG,A549,0.386
Paroxetine,IL6R,A549,0.3768
Paroxetine,RELB,A549,0.3495
Paroxetine,SOCS1,A549,0.3972
Paroxetine,NFKB1,A549,0.3189
Paroxetine,JAK1,A549,0.6496
Paroxetine,NFKB2,A549,0.5659
Paroxetine,IL6ST,A549,0.5236
Paroxetine,IKBKE,A549,0.5037
Paroxetine,IKBKB,A549,0.5003
Paroxetine,STAT1,A549,0.4275
Dexamethasone,IKBKAP,A549,0.3743
Dexamethasone,NFKB1,A549,0.3067
Dexamethasone,JAK1,A549,0.5027
Dexamethasone,IKBKE,A549,0.4606
Dexamethasone,IL6ST,A549,0.4371
Dexamethasone,NFKB2,A549,0.4322
Dexamethasone,IKBKB,A549,0.3481
Dexamethasone,STAT1,A549,0.322
Dexamethasone,STAT4,A549,-0.3003
Dexamethasone,JAK2,A549,0.3719
Dexamethasone,STAT6,A549,0.3677
Dexamethasone,JAK3,A549,0.3278
Dexamethasone,RELA,A549,-0.2554
Dexamethasone,IL6R,A549,-0.2411
Dexamethasone,STAT3,A549,0.2495
