perturbagen,treatment,cellline,similarity
Fluoxetine,NFKB1,HEKTE,-0.301
Fluoxetine,NFKB2,HEKTE,-0.2388
Fluoxetine,NFKB2,A375,-0.224
Fluoxetine,STAT5A,HT29,0.525
Fluoxetine,STAT5A,PC3,0.5208
Fluoxetine,JAK3,VCAP,0.4777
Fluoxetine,IL6,PC3,0.4567
Fluoxetine,STAT6,NPC,0.4245
Fluoxetine,NFKB2,MCF7,0.4103
Fluoxetine,IKBKE,PC3,-0.3614
Fluoxetine,IL6,HEPG2,-0.3577
Fluoxetine,IKBKAP,A549,0.3494
Fluoxetine,SOCS2,MCF7,-0.3368
Fluoxetine,REL,HT29,0.3278
Fluoxetine,STAT4,VCAP,-0.4045
Fluoxetine,STAT2,VCAP,0.4454
Fluoxetine,IKBKB,ASC,0.4398
Fluoxetine,SOCS3,HEKTE,0.4389
Fluoxetine,RELB,HCC515,-0.4014
Fluoxetine,STAT6,MCF7,0.4021
Fluoxetine,IKBKB,NPC,0.3362
Fluoxetine,IKBKG,SW480,0.2709
Fluoxetine,STAT3,PC3,-0.314
Fluoxetine,IL6R,HEPG2,-0.2299
Fluoxetine,STAT3,VCAP,0.22
Fluoxetine,STAT3,SW480,-0.2159
Fluoxetine,STAT1,A375,0.4294
Fluoxetine,STAT5B,HT29,0.3848
Fluoxetine,REL,HCC515,-0.3507
Fluoxetine,IKBKE,HT29,0.7189
Fluoxetine,TNF,HA1E,-0.5891
Fluoxetine,STAT1,MCF7,0.5839
Fluoxetine,JAK1,PC3,0.5665
Fluoxetine,NFKB2,VCAP,-0.5616
Fluoxetine,JAK1,HT29,0.5364
Fluoxetine,SOCS5,HCC515,0.5351
Fluoxetine,IKBKB,PC3,0.5302
Fluoxetine,STAT6,HT29,-0.5265
Fluoxetine,STAT5A,VCAP,0.5222
Fluoxetine,SOCS5,HA1E,-0.5135
Fluoxetine,IKBKAP,VCAP,-0.5096
Fluoxetine,STAT5B,A375,0.4992
Fluoxetine,IKBKB,MCF7,0.4929
Fluoxetine,TNF,HEPG2,-0.3515
Fluoxetine,STAT5A,MCF7,-0.2224
Fluoxetine,SOCS1,HEPG2,0.5095
Fluoxetine,JAK2,HT29,0.4711
Fluoxetine,IKBKE,NPC,0.4528
Fluoxetine,STAT1,SKL,0.4375
Fluoxetine,STAT6,VCAP,0.426
Fluoxetine,STAT4,A375,0.3849
Fluoxetine,STAT6,HCC515,0.3838
Fluoxetine,IKBKG,A549,0.3769
Fluoxetine,STAT4,A549,0.374
Fluoxetine,STAT3,HEPG2,0.3521
Fluoxetine,STAT6,HEPG2,0.3288
Fluoxetine,IL6ST,A375,0.7982
Fluoxetine,JAK1,A549,0.7518
Fluoxetine,REL,HA1E,0.7238
Fluoxetine,SOCS4,A375,-0.7166
Fluoxetine,IL6ST,A549,0.7111
Fluoxetine,STAT3,HA1E,0.7002
Fluoxetine,STAT6,HA1E,0.6812
Fluoxetine,IKBKE,MCF7,0.6808
Fluoxetine,STAT1,HA1E,0.6796
Fluoxetine,SOCS2,A375,0.6705
Fluoxetine,JAK1,HA1E,0.656
Fluoxetine,STAT6,A375,0.6558
Fluoxetine,NFKB2,HA1E,0.6432
Fluoxetine,NFKB2,A549,0.6428
Fluoxetine,JAK1,HEPG2,0.6384
Fluoxetine,IKBKE,A549,0.6381
Fluoxetine,IL6,VCAP,0.6372
Fluoxetine,REL,A375,0.63
Fluoxetine,STAT1,SW480,0.628
Fluoxetine,IKBKB,A549,0.6161
Fluoxetine,IKBKG,NPC,0.6142
Fluoxetine,STAT2,HA1E,-0.6056
