perturbagen,treatment,cellline,similarity
Fluoxetine,TNF,HA1E,-0.5891
Fluoxetine,REL,HA1E,0.7238
Fluoxetine,NFKB2,HA1E,0.6432
Fluoxetine,IL6,HA1E,-0.5698
Fluoxetine,RELA,HA1E,0.3323
Fluoxetine,IL6R,HA1E,0.3433
Fluoxetine,IL6ST,HA1E,0.2581
Bupropion,IL6,HA1E,-0.5782
Bupropion,RELA,HA1E,0.3118
Bupropion,REL,HA1E,0.6225
Bupropion,NFKB2,HA1E,0.5608
Bupropion,TNF,HA1E,0.615
Bupropion,IL6R,HA1E,0.5459
Paroxetine,IL6R,HA1E,0.3787
Paroxetine,RELA,HA1E,0.3636
Paroxetine,IL6,HA1E,-0.479
Paroxetine,TNF,HA1E,-0.4647
Paroxetine,REL,HA1E,0.5744
Paroxetine,NFKB2,HA1E,0.4854
Paroxetine,IL6ST,HA1E,0.3597
Paroxetine,NFKB1,HA1E,0.2951
Paroxetine,RELB,HA1E,-0.2747
Dexamethasone,REL,HA1E,0.5174
Dexamethasone,NFKB2,HA1E,0.4917
Dexamethasone,NFKB1,HA1E,0.2979
Dexamethasone,IL6,HA1E,0.6213
Dexamethasone,IL6R,HA1E,0.4638
Dexamethasone,TNF,HA1E,0.6495
Dexamethasone,RELB,HA1E,0.3663
Dexamethasone,IL6ST,HA1E,0.3304
Chloroquine,RELB,HA1E,0.3087
Chloroquine,NFKB1,HA1E,0.4148
Chloroquine,TNF,HA1E,0.6119
Chloroquine,REL,HA1E,0.5573
Chloroquine,NFKB2,HA1E,0.5209
Chloroquine,IL6,HA1E,0.5665
Chloroquine,RELA,HA1E,0.2586
Chloroquine,IL6R,HA1E,0.551
Chloroquine,IL6ST,HA1E,0.3366
