perturbagen,cellline,similarity
Paroxetine,A375,0.2752
Fluoxetine,A375,0.3104
Rolipram,A375,0.312
Chloroquine,A375,0.3249
Dexamethasone,A375,0.4902
Bupropion,A375,0.5613
Chloroquine,A549,-0.5389
Rolipram,A549,0.5188
Dexamethasone,A549,0.5326
Paroxetine,A549,0.5464
Bupropion,A549,0.5939
Fluoxetine,A549,0.6381
Fluoxetine,ASC,-0.3014
Rolipram,ASC,0.3757
Chloroquine,ASC,0.3858
Paroxetine,ASC,0.3898
Dexamethasone,ASC,0.4433
Chloroquine,HA1E,0.2391
Fluoxetine,HA1E,0.3016
Dexamethasone,HA1E,0.3385
Paroxetine,HA1E,0.3637
Chloroquine,HCC515,-0.5707
Paroxetine,HCC515,-0.3828
Pyrrolidine Dithiocarbamate,HCC515,-0.3357
Bupropion,HCC515,0.5103
Dexamethasone,HCC515,0.5189
Fluoxetine,HCC515,0.5307
Rolipram,HCC515,0.5491
Paroxetine,HEKTE,-0.3148
Fluoxetine,HEKTE,-0.2666
Dexamethasone,HEKTE,0.3263
Chloroquine,HEKTE,0.4332
Pyrrolidine Dithiocarbamate,HEPG2,-0.3976
Paroxetine,HEPG2,0.5309
Bupropion,HEPG2,0.5852
Rolipram,HEPG2,0.5934
Dexamethasone,HEPG2,0.6068
Chloroquine,HEPG2,0.6159
Fluoxetine,HEPG2,0.6193
Chloroquine,HT29,-0.6023
Bupropion,HT29,-0.5883
Pyrrolidine Dithiocarbamate,HT29,-0.4473
Rolipram,HT29,0.5664
Paroxetine,HT29,0.5989
Dexamethasone,HT29,0.6254
Fluoxetine,HT29,0.7189
Pyrrolidine Dithiocarbamate,MCF7,-0.3818
Bupropion,MCF7,0.5649
Paroxetine,MCF7,0.5665
Rolipram,MCF7,0.6268
Dexamethasone,MCF7,0.6382
Fluoxetine,MCF7,0.6808
Chloroquine,MCF7,0.6868
Bupropion,NPC,0.424
Paroxetine,NPC,0.431
Fluoxetine,NPC,0.4528
Dexamethasone,NPC,0.4556
Rolipram,NPC,0.5973
Chloroquine,NPC,0.6537
Paroxetine,PC3,-0.377
Fluoxetine,PC3,-0.3614
Rolipram,PC3,0.2546
Dexamethasone,PC3,0.2596
Chloroquine,PC3,0.2669
Fluoxetine,SW480,-0.4929
Paroxetine,SW480,-0.3898
Bupropion,SW480,-0.3172
Rolipram,SW480,0.3668
Pyrrolidine Dithiocarbamate,SW480,0.3737
Dexamethasone,SW480,0.5726
Chloroquine,SW480,0.5833
Pyrrolidine Dithiocarbamate,VCAP,0.3007
Chloroquine,VCAP,0.4591
Bupropion,VCAP,0.5225
Fluoxetine,VCAP,0.5883
Rolipram,VCAP,0.6039
Dexamethasone,VCAP,0.6209
Paroxetine,VCAP,0.627
