perturbagen,treatment,cellline,similarity
Fluoxetine,IL6,PC3,0.4567
Fluoxetine,IL6R,PC3,0.5352
Fluoxetine,TNF,PC3,0.311
Fluoxetine,RELB,PC3,0.3679
Fluoxetine,RELA,PC3,0.3025
Fluoxetine,REL,PC3,0.6485
Fluoxetine,NFKB1,PC3,-0.3644
Bupropion,RELA,PC3,0.5453
Bupropion,RELB,PC3,0.2888
Bupropion,NFKB2,PC3,0.2867
Bupropion,NFKB1,PC3,-0.5026
Bupropion,IL6R,PC3,0.5525
Bupropion,TNF,PC3,0.3555
Bupropion,REL,PC3,0.4784
Paroxetine,NFKB1,PC3,-0.406
Paroxetine,NFKB2,PC3,0.2414
Paroxetine,IL6R,PC3,0.4248
Paroxetine,REL,PC3,0.4904
Paroxetine,RELB,PC3,0.3875
Paroxetine,RELA,PC3,0.4139
Paroxetine,IL6,PC3,0.4688
Paroxetine,TNF,PC3,0.4026
Dexamethasone,IL6,PC3,0.2389
Dexamethasone,NFKB2,PC3,0.2887
Dexamethasone,RELA,PC3,0.2551
Dexamethasone,IL6R,PC3,0.4985
Dexamethasone,NFKB1,PC3,0.3485
Dexamethasone,REL,PC3,0.6091
Dexamethasone,TNF,PC3,0.4728
Dexamethasone,RELB,PC3,0.349
Dexamethasone,IL6ST,PC3,0.2538
Chloroquine,RELB,PC3,0.3788
Chloroquine,IL6,PC3,0.3119
Chloroquine,NFKB1,PC3,0.5413
Chloroquine,TNF,PC3,0.5093
Chloroquine,RELA,PC3,0.3999
Chloroquine,REL,PC3,0.4805
