perturbagen,treatment,cellline,similarity
Fluoxetine,STAT1,SKL,0.4375
Fluoxetine,IKBKAP,SKL,-0.4566
Bupropion,STAT1,SKL,0.4893
Bupropion,IKBKAP,SKL,0.4152
Paroxetine,STAT1,SKL,0.4086
Paroxetine,SOCS2,SKL,0.3679
Paroxetine,IKBKAP,SKL,-0.3699
Dexamethasone,IKBKAP,SKL,0.5219
Dexamethasone,STAT1,SKL,0.4533
Dexamethasone,SOCS2,SKL,0.4208
Chloroquine,IKBKAP,SKL,-0.3963
Chloroquine,STAT1,SKL,0.5443
Pyrrolidine Dithiocarbamate,STAT1,SKL,0.3983
Pyrrolidine Dithiocarbamate,SOCS2,SKL,-0.2201
Pyrrolidine Dithiocarbamate,IKBKAP,SKL,0.4274
Rolipram,IKBKAP,SKL,0.2613
Rolipram,STAT1,SKL,0.4364
