perturbagen,cellline,similarity
Rolipram,A375,0.2276
Bupropion,A375,0.2793
Pyrrolidine Dithiocarbamate,A375,0.3558
Fluoxetine,A375,0.4294
Chloroquine,A375,0.4558
Dexamethasone,A375,0.491
Paroxetine,A375,0.5044
Paroxetine,A549,0.4276
Dexamethasone,A549,0.5152
Rolipram,A549,0.5184
Bupropion,A549,0.5224
Chloroquine,A549,0.5238
Fluoxetine,A549,0.5906
Paroxetine,ASC,0.411
Dexamethasone,ASC,0.4594
Fluoxetine,ASC,0.4703
Rolipram,ASC,0.5169
Bupropion,ASC,0.5358
Chloroquine,ASC,0.5489
Dexamethasone,HA1E,-0.5431
Pyrrolidine Dithiocarbamate,HA1E,0.3169
Paroxetine,HA1E,0.4974
Chloroquine,HA1E,0.506
Rolipram,HA1E,0.5151
Bupropion,HA1E,0.5931
Fluoxetine,HA1E,0.6796
Pyrrolidine Dithiocarbamate,HCC515,0.2982
Rolipram,HCC515,0.4463
Paroxetine,HCC515,0.468
Chloroquine,HCC515,0.4686
Dexamethasone,HCC515,0.5207
Fluoxetine,HCC515,0.5631
Fluoxetine,HEKTE,-0.31
Pyrrolidine Dithiocarbamate,HEKTE,0.2348
Bupropion,HEKTE,0.2958
Paroxetine,HEKTE,0.305
Chloroquine,HEKTE,0.3913
Rolipram,HEKTE,0.4175
Dexamethasone,HEKTE,0.5407
Fluoxetine,HEPG2,0.3189
Dexamethasone,HEPG2,0.3347
Pyrrolidine Dithiocarbamate,HEPG2,0.3665
Chloroquine,HEPG2,0.4005
Rolipram,HEPG2,0.4193
Bupropion,HEPG2,0.4311
Paroxetine,HEPG2,0.4355
Dexamethasone,HT29,-0.5933
Chloroquine,HT29,-0.5714
Pyrrolidine Dithiocarbamate,HT29,0.3787
Rolipram,HT29,0.551
Bupropion,HT29,0.5961
Fluoxetine,HT29,0.6547
Paroxetine,HT29,0.6549
Pyrrolidine Dithiocarbamate,MCF7,0.3913
Rolipram,MCF7,0.4234
Bupropion,MCF7,0.5098
Paroxetine,MCF7,0.5218
Dexamethasone,MCF7,0.5667
Fluoxetine,MCF7,0.5839
Chloroquine,MCF7,0.5917
Pyrrolidine Dithiocarbamate,NPC,0.3959
Chloroquine,NPC,0.4625
Bupropion,NPC,0.5081
Paroxetine,NPC,0.5114
Rolipram,NPC,0.5504
Dexamethasone,NPC,0.5811
Fluoxetine,NPC,0.5967
Chloroquine,PC3,-0.514
Pyrrolidine Dithiocarbamate,PC3,0.3832
Rolipram,PC3,0.4327
Paroxetine,PC3,0.4414
Fluoxetine,PC3,0.4764
Bupropion,PC3,0.4764
Dexamethasone,PC3,0.5549
Pyrrolidine Dithiocarbamate,SKL,0.3983
Paroxetine,SKL,0.4086
Rolipram,SKL,0.4364
Fluoxetine,SKL,0.4375
Dexamethasone,SKL,0.4533
Bupropion,SKL,0.4893
Chloroquine,SKL,0.5443
Pyrrolidine Dithiocarbamate,SW480,0.5142
Paroxetine,SW480,0.5265
Bupropion,SW480,0.5354
Chloroquine,SW480,0.5569
Dexamethasone,SW480,0.5614
Rolipram,SW480,0.5776
Fluoxetine,SW480,0.628
Chloroquine,VCAP,-0.5606
Bupropion,VCAP,-0.2938
Pyrrolidine Dithiocarbamate,VCAP,0.2759
Paroxetine,VCAP,0.4494
Fluoxetine,VCAP,0.5336
Rolipram,VCAP,0.6143
Dexamethasone,VCAP,0.7219
