perturbagen,cellline,similarity
Chloroquine,A375,0.3516
Rolipram,A375,0.4372
Bupropion,A375,0.4836
Paroxetine,A375,0.5047
Dexamethasone,A375,0.5299
Fluoxetine,A375,0.5984
Paroxetine,A549,-0.3166
Bupropion,A549,0.244
Dexamethasone,A549,0.3442
Fluoxetine,A549,0.3478
Rolipram,A549,0.4123
Chloroquine,A549,0.5253
Bupropion,HA1E,0.2794
Dexamethasone,HA1E,0.2996
Paroxetine,HA1E,0.2997
Chloroquine,HA1E,0.3306
Fluoxetine,HA1E,0.3446
Rolipram,HA1E,0.386
Rolipram,HCC515,0.2317
Bupropion,HCC515,0.2777
Pyrrolidine Dithiocarbamate,HCC515,0.2786
Fluoxetine,HCC515,0.3312
Dexamethasone,HCC515,0.3707
Paroxetine,HCC515,0.4271
Paroxetine,HEPG2,0.2969
Bupropion,HEPG2,0.3169
Fluoxetine,HEPG2,0.3297
Dexamethasone,HEPG2,0.3656
Chloroquine,HEPG2,0.5233
Rolipram,HEPG2,0.5255
Chloroquine,HT29,-0.3779
Pyrrolidine Dithiocarbamate,HT29,0.4015
Dexamethasone,HT29,0.4121
Fluoxetine,HT29,0.525
Paroxetine,HT29,0.5852
Paroxetine,MCF7,-0.3072
Bupropion,MCF7,-0.292
Fluoxetine,MCF7,-0.2224
Dexamethasone,MCF7,0.2743
Chloroquine,MCF7,0.3321
Rolipram,MCF7,0.3458
Chloroquine,PC3,0.3562
Dexamethasone,PC3,0.3882
Bupropion,PC3,0.4064
Paroxetine,PC3,0.4947
Fluoxetine,PC3,0.5208
Chloroquine,VCAP,-0.6487
Paroxetine,VCAP,-0.4884
Pyrrolidine Dithiocarbamate,VCAP,0.29
Rolipram,VCAP,0.5078
Fluoxetine,VCAP,0.5222
Dexamethasone,VCAP,0.6154
Bupropion,VCAP,0.6159
