perturbagen,cellline,similarity
Fluoxetine,A375,-0.224
Dexamethasone,A375,0.224
Paroxetine,A375,0.2578
Rolipram,A549,0.5479
Chloroquine,A549,0.5513
Bupropion,A549,0.5754
Paroxetine,A549,0.5821
Dexamethasone,A549,0.6003
Fluoxetine,A549,0.6428
Rolipram,HA1E,0.4465
Paroxetine,HA1E,0.4854
Dexamethasone,HA1E,0.5135
Chloroquine,HA1E,0.5209
Bupropion,HA1E,0.5608
Fluoxetine,HA1E,0.6432
Fluoxetine,HEKTE,-0.2388
Dexamethasone,HEKTE,0.247
Bupropion,HEKTE,0.2907
Rolipram,HEKTE,0.3389
Paroxetine,HEKTE,0.3695
Chloroquine,HEPG2,0.273
Rolipram,HEPG2,0.275
Dexamethasone,HEPG2,0.332
Fluoxetine,HEPG2,0.3672
Paroxetine,HEPG2,0.3824
Bupropion,HT29,0.2924
Dexamethasone,HT29,0.3125
Paroxetine,HT29,0.3876
Rolipram,HT29,0.4846
Chloroquine,HT29,0.519
Rolipram,MCF7,-0.3184
Bupropion,MCF7,-0.2085
Chloroquine,MCF7,0.2962
Dexamethasone,MCF7,0.3559
Pyrrolidine Dithiocarbamate,MCF7,0.3765
Fluoxetine,MCF7,0.4103
Paroxetine,MCF7,0.462
Paroxetine,PC3,0.2565
Rolipram,PC3,0.2796
Bupropion,PC3,0.2867
Dexamethasone,PC3,0.2887
Fluoxetine,SW480,0.3086
Paroxetine,SW480,0.3437
Dexamethasone,SW480,0.3485
Rolipram,SW480,0.36
Chloroquine,SW480,0.3759
Dexamethasone,VCAP,-0.632
Fluoxetine,VCAP,-0.5616
Rolipram,VCAP,-0.5285
Paroxetine,VCAP,0.494
Pyrrolidine Dithiocarbamate,VCAP,0.497
Bupropion,VCAP,0.6059
Chloroquine,VCAP,0.6802
