"","cellline","Bupropion","Chloroquine","Dexamethasone","Fluoxetine","Paroxetine","Pyrrolidine Dithiocarbamate","Rolipram"
"1","A375",0.4916,NA,NA,NA,0.3831,NA,NA
"2","A549",0.479,NA,0.3481,0.3153,0.5003,NA,0.5155
"3","ASC",NA,NA,0.3158,NA,0.5144,NA,NA
"4","HA1E",NA,0.4649,0.3035,NA,0.2831,NA,0.2403
"5","HCC515",NA,NA,NA,NA,-0.4677,NA,NA
"6","HEPG2",NA,NA,0.3222,NA,0.4807,NA,NA
"7","HT29",NA,NA,0.6168,0.4412,NA,NA,0.3415
"8","MCF7",0.3955,0.4071,0.3238,0.2774,0.3998,0.4015,NA
"9","PC3",0.2675,NA,0.3039,0.5302,0.3178,NA,NA
"10","VCAP",NA,NA,0.5815,NA,NA,NA,NA
