"","cellline","Bupropion","Chloroquine","Dexamethasone","Fluoxetine","Paroxetine","Pyrrolidine Dithiocarbamate","Rolipram"
"1","A375",0.4916,0.3448,0.2119,NA,0.3831,0.2338,0.298
"2","A549",0.479,-0.5279,0.5228,0.6161,0.5003,NA,0.5155
"3","ASC",0.4674,0.4326,0.3158,0.4398,0.5144,NA,0.3539
"4","HA1E",0.3096,0.5592,0.4011,0.4242,0.3508,NA,0.5484
"5","HCC515",NA,0.4055,-0.3366,NA,-0.4677,NA,NA
"6","HEKTE",NA,0.243,0.2656,NA,NA,NA,NA
"7","HEPG2",0.4509,0.4621,0.4417,0.4909,0.4807,NA,0.4127
"8","HT29",NA,0.4439,0.6168,0.4412,0.3625,-0.2982,0.4287
"9","MCF7",-0.4657,0.4071,0.4797,0.4929,0.4694,0.4015,-0.248
"10","NPC",0.2807,0.5209,0.3436,0.3362,0.3444,NA,0.218
"11","PC3",0.5451,0.3742,0.4991,0.5302,0.4236,NA,0.3064
"12","SW480",NA,NA,0.3101,NA,0.3076,NA,0.353
"13","VCAP",0.5527,0.5464,0.6495,0.3867,0.4458,0.5505,0.5144
