perturbagen,cellline,similarity
Paroxetine,A375,-0.4635
Dexamethasone,A375,0.378
Rolipram,A375,0.3861
Chloroquine,A375,0.411
Fluoxetine,A375,0.4992
Bupropion,A375,0.5156
Dexamethasone,A549,-0.2889
Bupropion,A549,0.3058
Chloroquine,A549,0.3806
Fluoxetine,A549,0.4153
Rolipram,A549,0.4363
Paroxetine,A549,0.4445
Fluoxetine,HA1E,0.2401
Paroxetine,HA1E,0.2794
Rolipram,HA1E,0.315
Chloroquine,HA1E,0.4743
Rolipram,HEPG2,0.2397
Pyrrolidine Dithiocarbamate,HEPG2,0.2406
Bupropion,HEPG2,0.2488
Dexamethasone,HEPG2,0.4161
Paroxetine,HEPG2,0.4348
Fluoxetine,HEPG2,0.4442
Chloroquine,HEPG2,0.516
Chloroquine,HT29,-0.3236
Paroxetine,HT29,0.3083
Pyrrolidine Dithiocarbamate,HT29,0.3274
Fluoxetine,HT29,0.3848
Dexamethasone,HT29,0.4013
Bupropion,HT29,0.4133
Bupropion,MCF7,0.3135
Paroxetine,MCF7,0.3539
Chloroquine,MCF7,0.3983
Rolipram,MCF7,0.4089
Dexamethasone,MCF7,0.4204
Fluoxetine,MCF7,0.4522
Pyrrolidine Dithiocarbamate,PC3,0.2398
Rolipram,PC3,0.2698
Dexamethasone,PC3,0.3368
Chloroquine,PC3,0.3392
Bupropion,PC3,0.3431
Fluoxetine,PC3,0.3917
Paroxetine,PC3,0.397
