"","cellline","Bupropion","Chloroquine","Dexamethasone","Fluoxetine","Paroxetine","Pyrrolidine Dithiocarbamate","Rolipram"
"1","A375",0.5613,NA,0.4902,0.3104,0.2752,NA,0.2145
"2","A549",0.4868,NA,0.4606,NA,0.5037,NA,0.5188
"3","ASC",NA,NA,NA,NA,0.3898,NA,NA
"4","HA1E",NA,NA,NA,0.3016,NA,NA,NA
"5","HCC515",NA,NA,0.2509,NA,NA,NA,NA
"6","HEPG2",0.5544,0.4987,0.3978,0.6193,0.3662,-0.3976,NA
"7","HT29",-0.5883,NA,0.5852,0.5094,0.5989,NA,-0.5552
"8","MCF7",0.484,0.6868,0.5781,0.6449,0.4884,0.3789,-0.4587
"9","NPC",0.394,NA,NA,0.4526,NA,NA,NA
"10","PC3",NA,NA,NA,NA,-0.29,NA,NA
"11","VCAP",NA,NA,0.6209,0.4056,0.627,NA,0.6039
