perturbagen,cellline,similarity
Dexamethasone,A375,0.2119
Pyrrolidine Dithiocarbamate,A375,0.2338
Rolipram,A375,0.298
Chloroquine,A375,0.3448
Paroxetine,A375,0.3831
Bupropion,A375,0.4916
Chloroquine,A549,-0.5279
Bupropion,A549,0.479
Paroxetine,A549,0.5003
Rolipram,A549,0.5155
Dexamethasone,A549,0.5228
Fluoxetine,A549,0.6161
Dexamethasone,ASC,0.3158
Rolipram,ASC,0.3539
Chloroquine,ASC,0.4326
Fluoxetine,ASC,0.4398
Bupropion,ASC,0.4674
Paroxetine,ASC,0.5144
Bupropion,HA1E,0.3096
Paroxetine,HA1E,0.3508
Dexamethasone,HA1E,0.4011
Fluoxetine,HA1E,0.4242
Rolipram,HA1E,0.5484
Chloroquine,HA1E,0.5592
Paroxetine,HCC515,-0.4677
Dexamethasone,HCC515,-0.3366
Chloroquine,HCC515,0.4055
Chloroquine,HEKTE,0.243
Dexamethasone,HEKTE,0.2656
Rolipram,HEPG2,0.4127
Dexamethasone,HEPG2,0.4417
Bupropion,HEPG2,0.4509
Chloroquine,HEPG2,0.4621
Paroxetine,HEPG2,0.4807
Fluoxetine,HEPG2,0.4909
Pyrrolidine Dithiocarbamate,HT29,-0.2982
Paroxetine,HT29,0.3625
Rolipram,HT29,0.4287
Fluoxetine,HT29,0.4412
Chloroquine,HT29,0.4439
Dexamethasone,HT29,0.6168
Bupropion,MCF7,-0.4657
Rolipram,MCF7,-0.248
Pyrrolidine Dithiocarbamate,MCF7,0.4015
Chloroquine,MCF7,0.4071
Paroxetine,MCF7,0.4694
Dexamethasone,MCF7,0.4797
Fluoxetine,MCF7,0.4929
Rolipram,NPC,0.218
Bupropion,NPC,0.2807
Fluoxetine,NPC,0.3362
Dexamethasone,NPC,0.3436
Paroxetine,NPC,0.3444
Chloroquine,NPC,0.5209
Rolipram,PC3,0.3064
Chloroquine,PC3,0.3742
Paroxetine,PC3,0.4236
Dexamethasone,PC3,0.4991
Fluoxetine,PC3,0.5302
Bupropion,PC3,0.5451
Paroxetine,SW480,0.3076
Dexamethasone,SW480,0.3101
Rolipram,SW480,0.353
Fluoxetine,VCAP,0.3867
Paroxetine,VCAP,0.4458
Rolipram,VCAP,0.5144
Chloroquine,VCAP,0.5464
Pyrrolidine Dithiocarbamate,VCAP,0.5505
Bupropion,VCAP,0.5527
Dexamethasone,VCAP,0.6495
