"","cellline","Bupropion","Chloroquine","Dexamethasone","Fluoxetine","Paroxetine","Pyrrolidine Dithiocarbamate","Rolipram"
"1","A375",NA,NA,0.224,-0.224,0.2578,NA,NA
"2","A549",0.5754,0.5513,0.6003,0.6428,0.5821,NA,0.5479
"3","HA1E",0.5608,0.5209,0.5135,0.6432,0.4854,NA,0.4465
"4","HEKTE",0.2907,NA,0.247,-0.2388,0.3695,NA,0.3389
"5","HEPG2",NA,0.273,0.332,0.3672,0.3824,NA,0.275
"6","HT29",0.2924,0.519,0.3125,NA,0.3876,NA,0.4846
"7","MCF7",-0.2085,0.2962,0.3559,0.4103,0.462,0.3765,-0.3184
"8","PC3",0.2867,NA,0.2887,NA,0.2565,NA,0.2796
"9","SW480",NA,0.3759,0.3485,0.3086,0.3437,NA,0.36
"10","VCAP",0.6059,0.6802,-0.632,-0.5616,0.494,0.497,-0.5285
