"","cellline","Bupropion","Chloroquine","Dexamethasone","Fluoxetine","Paroxetine"
"1","A375",0.2407,0.4982,0.4639,0.3052,0.3509
"2","A549",0.3464,0.4511,0.3067,0.3313,0.3194
"3","HA1E",NA,0.4148,0.2979,NA,0.2951
"4","HEKTE",NA,0.4547,0.4159,NA,0.2972
"5","HEPG2",0.2547,0.3447,0.5461,0.2485,0.2615
"6","HT29",0.3434,0.2399,0.3148,0.3218,0.2672
"7","MCF7",NA,0.4876,0.2009,0.379,-0.3913
"8","PC3",-0.5026,0.5413,0.3485,-0.3644,-0.406
"9","SW480",0.2388,0.3755,0.5519,-0.2109,-0.4005
"10","VCAP",-0.5066,0.7148,0.5726,0.5276,0.4696
