perturbagen,cellline,similarity
Dexamethasone,A375,-0.2326
Rolipram,A375,0.2501
Bupropion,A375,0.2704
Paroxetine,A375,0.3437
Fluoxetine,A375,0.4532
Chloroquine,A375,0.703
Fluoxetine,A549,0.3409
Chloroquine,A549,0.408
Paroxetine,A549,0.4185
Dexamethasone,A549,0.4347
Rolipram,A549,0.4485
Bupropion,A549,0.4606
Bupropion,HA1E,-0.52
Rolipram,HA1E,-0.473
Fluoxetine,HA1E,-0.4671
Chloroquine,HA1E,-0.4157
Paroxetine,HA1E,0.4351
Dexamethasone,HA1E,0.5065
Paroxetine,HEKTE,0.2483
Rolipram,HEKTE,0.3464
Chloroquine,HEKTE,0.5784
Pyrrolidine Dithiocarbamate,HEPG2,-0.3961
Fluoxetine,HEPG2,0.3274
Paroxetine,HEPG2,0.3281
Dexamethasone,HEPG2,0.3453
Rolipram,HEPG2,0.3836
Chloroquine,HEPG2,0.4153
Paroxetine,HT29,0.3006
Bupropion,HT29,0.45
Fluoxetine,HT29,0.4711
Dexamethasone,HT29,0.4725
Chloroquine,HT29,0.5584
Rolipram,HT29,0.6612
Paroxetine,MCF7,-0.4706
Fluoxetine,MCF7,-0.3761
Bupropion,MCF7,-0.3621
Pyrrolidine Dithiocarbamate,MCF7,-0.3406
Dexamethasone,MCF7,-0.2938
Rolipram,MCF7,-0.2597
Dexamethasone,PC3,-0.5371
Chloroquine,PC3,-0.4987
Rolipram,PC3,-0.4115
Fluoxetine,PC3,0.4668
Paroxetine,PC3,0.4718
Bupropion,PC3,0.5023
Fluoxetine,SW480,-0.5644
Rolipram,SW480,-0.5341
Paroxetine,SW480,-0.3926
Chloroquine,SW480,0.5212
Dexamethasone,SW480,0.5491
Bupropion,SW480,0.6213
Fluoxetine,VCAP,0.2909
Dexamethasone,VCAP,0.3388
Chloroquine,VCAP,0.3478
Bupropion,VCAP,0.3697
Paroxetine,VCAP,0.4107
Rolipram,VCAP,0.4844
