perturbagen,cellline,similarity
Dexamethasone,A375,0.2385
Paroxetine,A375,0.2995
Dexamethasone,A549,0.5027
Paroxetine,A549,0.6496
Bupropion,A549,0.6557
Dexamethasone,HA1E,0.3935
Fluoxetine,HA1E,0.4356
Paroxetine,HA1E,0.4712
Dexamethasone,HEPG2,0.3596
Fluoxetine,HEPG2,0.6163
Bupropion,HEPG2,0.6382
Dexamethasone,HT29,0.3457
Bupropion,HT29,0.4033
Paroxetine,HT29,0.4753
Paroxetine,PC3,0.3803
Bupropion,PC3,0.4059
Dexamethasone,PC3,0.4434
Fluoxetine,PC3,0.5665
Paroxetine,VCAP,0.5984
Dexamethasone,VCAP,0.6347
