"","cellline","Bupropion","Chloroquine","Dexamethasone","Fluoxetine","Paroxetine","Pyrrolidine Dithiocarbamate","Rolipram"
"1","A375",NA,NA,0.3237,0.336,NA,0.3217,NA
"2","A549",0.4844,NA,0.322,NA,0.4275,NA,NA
"3","ASC",NA,NA,0.4297,NA,NA,NA,NA
"4","HA1E",0.5284,0.5018,0.4321,0.3375,0.4974,NA,NA
"5","HCC515",NA,NA,0.3393,NA,0.4274,0.2436,NA
"6","HEPG2",NA,NA,0.3347,NA,NA,NA,NA
"7","HT29",0.2994,NA,0.5721,0.571,0.6549,0.3118,-0.4672
"8","MCF7",0.4789,0.5917,0.5553,0.5521,0.4168,0.3913,NA
"9","NPC",NA,NA,0.5811,0.3941,NA,NA,0.4585
"10","PC3",NA,NA,0.2568,0.4251,0.3745,NA,NA
"11","VCAP",NA,-0.5606,0.7219,0.3271,NA,NA,0.6143
