perturbagen,treatment,cellline,similarity
Fluoxetine,REL,SW480,0.3216
Fluoxetine,NFKB2,SW480,0.3086
Fluoxetine,NFKB1,SW480,-0.2109
Bupropion,RELA,SW480,0.5752
Bupropion,REL,SW480,0.4171
Bupropion,NFKB1,SW480,0.2388
Paroxetine,RELA,SW480,0.3816
Paroxetine,NFKB2,SW480,0.3437
Paroxetine,NFKB1,SW480,-0.4005
Paroxetine,REL,SW480,0.2095
Dexamethasone,NFKB2,SW480,0.3485
Dexamethasone,REL,SW480,0.3054
Dexamethasone,RELA,SW480,0.5086
Dexamethasone,NFKB1,SW480,0.5519
Chloroquine,NFKB1,SW480,0.3755
Chloroquine,REL,SW480,0.3594
Chloroquine,NFKB2,SW480,0.3759
Chloroquine,RELA,SW480,0.4134
