similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.6482	4.0036e-16	124	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_25686
0.645	6.1899e-16	124	IL6	CGS001-3569	96 h	LINCSKD_9600	HA1E	LINCSCP_25686
0.6404	1.1529e-15	124	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_25686
0.5991	1.9716e-13	124	SOCS5	CGS001-9655	96 h	LINCSKD_11042	HA1E	LINCSCP_25686
0.5907	5.1582e-13	124	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_25686
-0.5835	1.1393e-12	124	STAT6	CGS001-6778	96 h	LINCSKD_3068	A375	LINCSCP_25686
0.559	1.5112e-11	124	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_25686
0.5581	1.65e-11	124	SOCS1	CGS001-8651	96 h	LINCSKD_17248	HEPG2	LINCSCP_25686
-0.5455	5.7208e-11	124	SOCS4	CGS001-122809	120 h	LINCSKD_32740	VCAP	LINCSCP_25686
0.5357	1.4433e-10	124	JAK1	CGS001-3716	96 h	LINCSKD_1612	A375	LINCSCP_25686
0.5356	1.4576e-10	124	IKBKE	CGS001-9641	96 h	LINCSKD_25020	NPC	LINCSCP_25686
0.5317	2.1023e-10	124	STAT1	CGS001-6772	96 h	LINCSKD_7927	ASC	LINCSCP_25686
-0.5295	2.5696e-10	124	STAT5B	CGS001-6777	96 h	LINCSKD_3067	A375	LINCSCP_25686
0.5272	3.1756e-10	124	JAK2	CGS001-3717	96 h	LINCSKD_9663	HA1E	LINCSCP_25686
0.5192	6.4869e-10	124	SOCS1	CGS001-8651	96 h	LINCSKD_11039	HA1E	LINCSCP_25686
0.5184	6.9902e-10	124	IKBKG	CGS001-8517	120 h	LINCSKD_31313	VCAP	LINCSCP_25686
-0.514	1.0197e-9	124	STAT5A	CGS001-6776	96 h	LINCSKD_3066	A375	LINCSCP_25686
0.5068	1.8951e-9	124	JAK3	CGS001-3718	96 h	LINCSKD_9664	HA1E	LINCSCP_25686
-0.5042	2.3732e-9	124	STAT6	CGS001-6778	96 h	LINCSKD_25442	NPC	LINCSCP_25686
0.5018	2.9085e-9	124	SOCS4	CGS001-122809	96 h	LINCSKD_2997	A375	LINCSCP_25686
0.4984	3.8632e-9	124	STAT3	CGS001-6774	96 h	LINCSKD_6666	A549	LINCSCP_25686
0.495	5.0951e-9	124	RELA	CGS001-5970	96 h	LINCSKD_2675	A375	LINCSCP_25686
