similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4006	8.9684e-17	398	IKBKAP	CGS001-8518	96 h	LINCSKD_12701	HCC515	LINCSCP_107166
0.3544	3.2051e-13	398	REL	CGS001-5966	96 h	LINCSKD_28535	PC3	LINCSCP_107166
0.3245	3.2839e-11	398	JAK2	CGS001-3717	96 h	LINCSKD_5224	A549	LINCSCP_107166
0.3212	5.2965e-11	398	IKBKG	CGS001-8517	96 h	LINCSKD_29803	SW480	LINCSCP_107166
0.2976	1.3929e-9	398	JAK2	CGS001-3717	144 h	LINCSKD_35976	PC3	LINCSCP_107166
0.2926	2.703e-9	398	IKBKB	CGS001-3551	96 h	LINCSKD_7604	ASC	LINCSCP_107166
0.2708	4.0484e-8	398	IKBKAP	CGS001-8518	96 h	LINCSKD_25018	NPC	LINCSCP_107166
0.258	1.7886e-7	398	IKBKB	CGS001-3551	96 h	LINCSKD_15895	HEPG2	LINCSCP_107166
0.2524	3.3388e-7	398	STAT1	CGS001-6772	96 h	LINCSKD_24215	MCF7	LINCSCP_107166
0.2383	1.5143e-6	398	REL	CGS001-5966	96 h	LINCSKD_23956	MCF7	LINCSCP_107166
0.2344	2.2805e-6	398	IKBKB	CGS001-3551	96 h	LINCSKD_1514	A375	LINCSCP_107166
0.2291	3.8848e-6	398	REL	CGS001-5966	96 h	LINCSKD_29886	SW480	LINCSCP_107166
0.2235	6.7086e-6	398	SOCS4	CGS001-122809	96 h	LINCSKD_24168	MCF7	LINCSCP_107166
0.2231	6.9834e-6	398	IKBKB	CGS001-3551	96 h	LINCSKD_19225	HT29	LINCSCP_107166
0.2227	7.2726e-6	398	JAK2	CGS001-3717	96 h	LINCSKD_1613	A375	LINCSCP_107166
0.2227	7.2746e-6	398	STAT6	CGS001-6778	96 h	LINCSKD_3068	A375	LINCSCP_107166
0.2223	7.5452e-6	398	IL6ST	CGS001-3572	96 h	LINCSKD_1545	A375	LINCSCP_107166
-0.2152	0	398	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_107166
0.2143	0	398	JAK1	CGS001-3716	120 h	LINCSKD_31399	VCAP	LINCSCP_107166
