similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.5847	1.3945e-22	231	IKBKE	CGS001-9641	96 h	LINCSKD_19226	HT29	LINCSCP_153434
0.5331	2.3012e-18	231	STAT1	CGS001-6772	96 h	LINCSKD_20628	HT29	LINCSCP_153434
0.5289	4.7265e-18	231	JAK1	CGS001-3716	96 h	LINCSKD_27721	PC3	LINCSCP_153434
0.4658	7.6597e-14	231	IKBKE	CGS001-9641	96 h	LINCSKD_15896	HEPG2	LINCSCP_153434
0.452	4.9509e-13	231	STAT1	CGS001-6772	96 h	LINCSKD_24215	MCF7	LINCSCP_153434
0.4422	1.7729e-12	231	STAT1	CGS001-6772	96 h	LINCSKD_6664	A549	LINCSCP_153434
0.4417	1.8903e-12	231	STAT6	CGS001-6778	96 h	LINCSKD_3068	A375	LINCSCP_153434
-0.4347	4.5912e-12	231	SOCS4	CGS001-122809	96 h	LINCSKD_2997	A375	LINCSCP_153434
0.43120000000000003	7.0401e-12	231	STAT5B	CGS001-6777	96 h	LINCSKD_17318	HEPG2	LINCSCP_153434
0.4294	8.8318e-12	231	STAT1	CGS001-6772	96 h	LINCSKD_3062	A375	LINCSCP_153434
0.4168	4.0419e-11	231	JAK1	CGS001-3716	96 h	LINCSKD_5223	A549	LINCSCP_153434
-0.4149	5.0064e-11	231	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_153434
0.4141	5.5443e-11	231	IKBKE	CGS001-9641	96 h	LINCSKD_23149	MCF7	LINCSCP_153434
0.4104	8.465e-11	231	STAT1	CGS001-6772	96 h	LINCSKD_28824	PC3	LINCSCP_153434
0.4089	1.0062e-10	231	REL	CGS001-5966	96 h	LINCSKD_2674	A375	LINCSCP_153434
0.4048	1.6072e-10	231	STAT3	CGS001-6774	96 h	LINCSKD_11113	HA1E	LINCSCP_153434
0.4047	1.6292e-10	231	IL6ST	CGS001-3572	96 h	LINCSKD_15925	HEPG2	LINCSCP_153434
0.3977	3.5467e-10	231	IKBKE	CGS001-9641	96 h	LINCSKD_5138	A549	LINCSCP_153434
0.3954	4.6031e-10	231	NFKB1	CGS001-4790	120 h	LINCSKD_31843	VCAP	LINCSCP_153434
0.3935	5.6591e-10	231	JAK1	CGS001-3716	96 h	LINCSKD_19315	HT29	LINCSCP_153434
0.3848	1.4375e-9	231	STAT5B	CGS001-6777	96 h	LINCSKD_20632	HT29	LINCSCP_153434
0.3778	2.9795e-9	231	IL6ST	CGS001-3572	96 h	LINCSKD_5167	A549	LINCSCP_153434
0.3756	3.7529e-9	231	IKBKE	CGS001-9641	144 h	LINCSKD_21583	MCF7	LINCSCP_153434
0.3709	6.0407e-9	231	IKBKE	CGS001-9641	120 h	LINCSKD_31312	VCAP	LINCSCP_153434
0.3697	6.8213e-9	231	STAT1	CGS001-6772	120 h	LINCSKD_32808	VCAP	LINCSCP_153434
0.3682	7.9728e-9	231	STAT1	CGS001-6772	96 h	LINCSKD_25441	NPC	LINCSCP_153434
-0.3644	1.1592e-8	231	SOCS1	CGS001-8651	96 h	LINCSKD_11039	HA1E	LINCSCP_153434
-0.3584	2.0833e-8	231	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_153434
-0.3578	2.2073e-8	231	STAT2	CGS001-6773	96 h	LINCSKD_11112	HA1E	LINCSCP_153434
-0.3546	3.0155e-8	231	JAK2	CGS001-3717	96 h	LINCSKD_29813	SW480	LINCSCP_153434
-0.3507	4.3643e-8	231	REL	CGS001-5966	96 h	LINCSKD_13493	HCC515	LINCSCP_153434
0.3493	4.9404e-8	231	STAT4	CGS001-6775	96 h	LINCSKD_28827	PC3	LINCSCP_153434
