similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.3703	1.0843e-10	285	REL	CGS001-5966	96 h	LINCSKD_20280	HT29	LINCSCP_176116
0.3485	1.4615e-9	285	SOCS3	CGS001-9021	96 h	LINCSKD_2996	A375	LINCSCP_176116
0.3477	1.6e-9	285	IKBKE	CGS001-9641	96 h	LINCSKD_25020	NPC	LINCSCP_176116
0.3453	2.1112e-9	285	JAK2	CGS001-3717	96 h	LINCSKD_15987	HEPG2	LINCSCP_176116
0.344	2.4606e-9	285	IKBKB	CGS001-3551	96 h	LINCSKD_9569	HA1E	LINCSCP_176116
0.3392	4.1838e-9	285	JAK3	CGS001-3718	96 h	LINCSKD_5225	A549	LINCSCP_176116
0.3294	1.2254e-8	285	JAK1	CGS001-3716	96 h	LINCSKD_1612	A375	LINCSCP_176116
0.3119	7.5884e-8	285	JAK2	CGS001-3717	120 h	LINCSKD_31400	VCAP	LINCSCP_176116
0.3077	1.1498e-7	285	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_176116
0.303	1.8282e-7	285	STAT4	CGS001-6775	96 h	LINCSKD_6667	A549	LINCSCP_176116
0.3027	1.8854e-7	285	IKBKB	CGS001-3551	120 h	LINCSKD_31311	VCAP	LINCSCP_176116
0.3021	1.9965e-7	285	IKBKAP	CGS001-8518	120 h	LINCSKD_31310	VCAP	LINCSCP_176116
0.302	2.0112e-7	285	REL	CGS001-5966	96 h	LINCSKD_13493	HCC515	LINCSCP_176116
0.2988	2.7475e-7	285	IL6ST	CGS001-3572	96 h	LINCSKD_19256	HT29	LINCSCP_176116
0.2866	8.6404000000000005e-07	285	JAK1	CGS001-3716	96 h	LINCSKD_12766	HCC515	LINCSCP_176116
0.2838	1.1128e-6	285	IL6R	CGS001-3570	96 h	LINCSKD_9601	HA1E	LINCSCP_176116
0.2824	1.2583e-6	285	RELA	CGS001-5970	96 h	LINCSKD_2675	A375	LINCSCP_176116
0.28	1.5705e-6	285	SOCS2	CGS001-8835	96 h	LINCSKD_29647	SKL	LINCSCP_176116
0.2797	1.6044e-6	285	STAT4	CGS001-6775	96 h	LINCSKD_20630	HT29	LINCSCP_176116
0.2786	1.7686e-6	285	STAT5A	CGS001-6776	96 h	LINCSKD_17317	HEPG2	LINCSCP_176116
0.278	1.8647e-6	285	RELA	CGS001-5970	96 h	LINCSKD_14441	HEKTE	LINCSCP_176116
0.2717	3.2575e-6	285	STAT4	CGS001-6775	120 h	LINCSKD_32811	VCAP	LINCSCP_176116
0.2698	3.8339e-6	285	IKBKAP	CGS001-8518	96 h	LINCSKD_29513	SKL	LINCSCP_176116
0.2697	3.857e-6	285	STAT1	CGS001-6772	96 h	LINCSKD_7927	ASC	LINCSCP_176116
0.2696	3.8912e-6	285	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_176116
0.2656	5.4783e-6	285	IKBKB	CGS001-3551	96 h	LINCSKD_14317	HEKTE	LINCSCP_176116
0.264	6.2397e-6	285	SOCS5	CGS001-9655	96 h	LINCSKD_11042	HA1E	LINCSCP_176116
0.2612	7.8862e-6	285	JAK1	CGS001-3716	120 h	LINCSKD_31399	VCAP	LINCSCP_176116
0.258	0	285	STAT6	CGS001-6778	96 h	LINCSKD_20633	HT29	LINCSCP_176116
0.2572	0	285	IL6ST	CGS001-3572	96 h	LINCSKD_9602	HA1E	LINCSCP_176116
0.2558	0	285	STAT5A	CGS001-6776	96 h	LINCSKD_6668	A549	LINCSCP_176116
