similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.3726	3.202e-9	237	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_9798
0.3591	1.2698e-8	237	IKBKB	CGS001-3551	144 h	LINCSKD_26063	PC3	LINCSCP_9798
0.349	3.4235e-8	237	JAK1	CGS001-3716	96 h	LINCSKD_12766	HCC515	LINCSCP_9798
-0.2991	2.7684e-6	237	SOCS4	CGS001-122809	120 h	LINCSKD_32740	VCAP	LINCSCP_9798
0.2922	4.7818e-6	237	RELB	CGS001-5971	96 h	LINCSKD_16956	HEPG2	LINCSCP_9798
0.289	6.1167e-6	237	STAT4	CGS001-6775	96 h	LINCSKD_3065	A375	LINCSCP_9798
0.2866	7.3756e-6	237	IKBKE	CGS001-9641	96 h	LINCSKD_25020	NPC	LINCSCP_9798
0.2862	7.5841e-6	237	RELA	CGS001-5970	96 h	LINCSKD_6280	A549	LINCSCP_9798
0.2802	0	237	RELA	CGS001-5970	96 h	LINCSKD_2675	A375	LINCSCP_9798
0.28	0	237	JAK1	CGS001-3716	120 h	LINCSKD_31399	VCAP	LINCSCP_9798
0.2692	0	237	TNF	CGS001-7124	96 h	LINCSKD_28936	PC3	LINCSCP_9798
0.2674	0	237	IL6	CGS001-3569	96 h	LINCSKD_5165	A549	LINCSCP_9798
0.263	0	237	SOCS5	CGS001-9655	96 h	LINCSKD_11042	HA1E	LINCSCP_9798
0.2604	0	237	NFKB2	CGS001-4791	120 h	LINCSKD_31844	VCAP	LINCSCP_9798
0.2591	1e-4	237	JAK3	CGS001-3718	96 h	LINCSKD_5225	A549	LINCSCP_9798
-0.2584	1e-4	237	IKBKAP	CGS001-8518	144 h	LINCSKD_21581	MCF7	LINCSCP_9798
0.2563	1e-4	237	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_9798
0.2557	1e-4	237	STAT1	CGS001-6772	96 h	LINCSKD_7927	ASC	LINCSCP_9798
0.254	1e-4	237	IKBKAP	CGS001-8518	120 h	LINCSKD_31310	VCAP	LINCSCP_9798
0.2464	1e-4	237	JAK2	CGS001-3717	96 h	LINCSKD_19316	HT29	LINCSCP_9798
0.2449	1e-4	237	STAT6	CGS001-6778	120 h	LINCSKD_32813	VCAP	LINCSCP_9798
-0.2421	2e-4	237	SOCS4	CGS001-122809	96 h	LINCSKD_28776	PC3	LINCSCP_9798
0.2414	2e-4	237	STAT2	CGS001-6773	96 h	LINCSKD_6665	A549	LINCSCP_9798
0.2403	2e-4	237	STAT2	CGS001-6773	96 h	LINCSKD_11112	HA1E	LINCSCP_9798
0.2399	2e-4	237	NFKB1	CGS001-4790	96 h	LINCSKD_19710	HT29	LINCSCP_9798
0.2342	3e-4	237	IL6	CGS001-3569	96 h	LINCSKD_12722	HCC515	LINCSCP_9798
0.2297	4e-4	237	NFKB1	CGS001-4790	96 h	LINCSKD_2066	A375	LINCSCP_9798
0.229	4e-4	237	REL	CGS001-5966	96 h	LINCSKD_14440	HEKTE	LINCSCP_9798
