similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.5934	2.2051e-45	463	IKBKE	CGS001-9641	96 h	LINCSKD_15896	HEPG2	LINCSCP_284843
0.5801	5.3565e-43	463	JAK1	CGS001-3716	96 h	LINCSKD_5223	A549	LINCSCP_284843
0.5574	3.8055e-39	463	REL	CGS001-5966	96 h	LINCSKD_10725	HA1E	LINCSCP_284843
-0.5242	4.8538e-34	463	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_284843
0.4999	1.1982e-30	463	JAK1	CGS001-3716	96 h	LINCSKD_15986	HEPG2	LINCSCP_284843
0.4934	8.9639e-30	463	STAT1	CGS001-6772	96 h	LINCSKD_6664	A549	LINCSCP_284843
0.4926	1.1244e-29	463	IL6ST	CGS001-3572	96 h	LINCSKD_15925	HEPG2	LINCSCP_284843
0.4903	2.2192e-29	463	STAT1	CGS001-6772	96 h	LINCSKD_11111	HA1E	LINCSCP_284843
-0.4902	2.3375e-29	463	IL6	CGS001-3569	96 h	LINCSKD_9600	HA1E	LINCSCP_284843
0.4796	5.1719e-28	463	STAT3	CGS001-6774	96 h	LINCSKD_11113	HA1E	LINCSCP_284843
0.4749	2.009e-27	463	STAT6	CGS001-6778	96 h	LINCSKD_3068	A375	LINCSCP_284843
0.4712	5.8037e-27	463	JAK1	CGS001-3716	96 h	LINCSKD_9662	HA1E	LINCSCP_284843
0.4465	4.6033e-24	463	NFKB2	CGS001-4791	96 h	LINCSKD_10097	HA1E	LINCSCP_284843
0.4356	7.3326e-23	463	STAT1	CGS001-6772	96 h	LINCSKD_20628	HT29	LINCSCP_284843
0.4327	1.5079e-22	463	STAT1	CGS001-6772	96 h	LINCSKD_28824	PC3	LINCSCP_284843
0.4296	3.257e-22	463	STAT1	CGS001-6772	96 h	LINCSKD_13762	HCC515	LINCSCP_284843
-0.4252	9.5136e-22	463	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_284843
-0.4241	1.2354e-21	463	STAT2	CGS001-6773	96 h	LINCSKD_11112	HA1E	LINCSCP_284843
0.424	1.2482e-21	463	IKBKG	CGS001-8517	96 h	LINCSKD_25021	NPC	LINCSCP_284843
-0.4234	1.4416e-21	463	SOCS1	CGS001-8651	96 h	LINCSKD_11039	HA1E	LINCSCP_284843
0.4234	1.464e-21	463	STAT1	CGS001-6772	96 h	LINCSKD_24215	MCF7	LINCSCP_284843
-0.4223	1.897e-21	463	SOCS4	CGS001-122809	96 h	LINCSKD_2997	A375	LINCSCP_284843
0.4193	3.8783e-21	463	STAT1	CGS001-6772	96 h	LINCSKD_17314	HEPG2	LINCSCP_284843
0.4143	1.2634e-20	463	IKBKE	CGS001-9641	96 h	LINCSKD_12703	HCC515	LINCSCP_284843
0.4087	4.5482e-20	463	IKBKE	CGS001-9641	96 h	LINCSKD_5138	A549	LINCSCP_284843
