similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4982	2.3623e-21	318	IL6ST	CGS001-3572	96 h	LINCSKD_1545	A375	LINCSCP_104831
0.4959	3.8175e-21	318	IKBKE	CGS001-9641	96 h	LINCSKD_19226	HT29	LINCSCP_104831
0.4917	9.2046e-21	318	JAK1	CGS001-3716	96 h	LINCSKD_5223	A549	LINCSCP_104831
0.4701	6.8926e-19	318	IL6ST	CGS001-3572	96 h	LINCSKD_5167	A549	LINCSCP_104831
0.4683	9.8084e-19	318	REL	CGS001-5966	96 h	LINCSKD_10725	HA1E	LINCSCP_104831
-0.4607	4.1022e-18	318	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_104831
0.4597	4.9446e-18	318	IKBKE	CGS001-9641	96 h	LINCSKD_5138	A549	LINCSCP_104831
0.4539	1.4436e-17	318	JAK2	CGS001-3717	144 h	LINCSKD_35976	PC3	LINCSCP_104831
0.4508	2.5139e-17	318	IKBKE	CGS001-9641	96 h	LINCSKD_15896	HEPG2	LINCSCP_104831
0.4436	9.1251e-17	318	NFKB2	CGS001-4791	96 h	LINCSKD_10097	HA1E	LINCSCP_104831
0.4401	1.6936e-16	318	SOCS4	CGS001-122809	120 h	LINCSKD_32740	VCAP	LINCSCP_104831
0.436	3.4889e-16	318	STAT1	CGS001-6772	96 h	LINCSKD_20628	HT29	LINCSCP_104831
0.4236	2.8006e-15	318	SOCS2	CGS001-8835	96 h	LINCSKD_2995	A375	LINCSCP_104831
-0.4205	4.6723e-15	318	JAK3	CGS001-3718	96 h	LINCSKD_9664	HA1E	LINCSCP_104831
-0.4202	4.8937e-15	318	SOCS4	CGS001-122809	96 h	LINCSKD_2997	A375	LINCSCP_104831
0.4092	2.8705e-14	318	IKBKE	CGS001-9641	120 h	LINCSKD_31312	VCAP	LINCSCP_104831
-0.4025	8.1183e-14	318	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_104831
0.3973	1.8077e-13	318	STAT6	CGS001-6778	96 h	LINCSKD_11117	HA1E	LINCSCP_104831
0.3967	1.9737e-13	318	STAT1	CGS001-6772	96 h	LINCSKD_11111	HA1E	LINCSCP_104831
0.3941	2.942e-13	318	IKBKB	CGS001-3551	96 h	LINCSKD_7604	ASC	LINCSCP_104831
0.3919	4.0696e-13	318	IKBKB	CGS001-3551	96 h	LINCSKD_5137	A549	LINCSCP_104831
0.3907	4.8729e-13	318	REL	CGS001-5966	96 h	LINCSKD_28535	PC3	LINCSCP_104831
0.389	6.2938e-13	318	IKBKE	CGS001-9641	96 h	LINCSKD_12703	HCC515	LINCSCP_104831
0.3885	6.7103e-13	318	IL6ST	CGS001-3572	96 h	LINCSKD_15925	HEPG2	LINCSCP_104831
0.3857	1.0159e-12	318	JAK1	CGS001-3716	96 h	LINCSKD_27721	PC3	LINCSCP_104831
0.3797	2.4146e-12	318	JAK1	CGS001-3716	96 h	LINCSKD_19315	HT29	LINCSCP_104831
