similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.394	2.0205e-11	269	STAT3	CGS001-6774	144 h	LINCSKD_34654	MCF7	LINCSCP_90963
0.3752	2.0306e-10	269	NFKB1	CGS001-4790	96 h	LINCSKD_2066	A375	LINCSCP_90963
-0.3398	1.0774e-8	269	REL	CGS001-5966	96 h	LINCSKD_6279	A549	LINCSCP_90963
0.3333	2.1275e-8	269	IKBKG	CGS001-8517	144 h	LINCSKD_26065	PC3	LINCSCP_90963
0.3204	7.7581e-8	269	NFKB2	CGS001-4791	96 h	LINCSKD_14384	HEKTE	LINCSCP_90963
0.3136	1.5069e-7	269	NFKB1	CGS001-4790	96 h	LINCSKD_10096	HA1E	LINCSCP_90963
0.3105	2.0066e-7	269	SOCS1	CGS001-8651	96 h	LINCSKD_17248	HEPG2	LINCSCP_90963
0.2955	8.0013e-7	269	NFKB1	CGS001-4790	96 h	LINCSKD_28060	PC3	LINCSCP_90963
0.2917	1.1245e-6	269	JAK1	CGS001-3716	96 h	LINCSKD_9662	HA1E	LINCSCP_90963
0.2916	1.1334e-6	269	RELA	CGS001-5970	144 h	LINCSKD_34572	MCF7	LINCSCP_90963
0.2894	1.3754e-6	269	IL6R	CGS001-3570	96 h	LINCSKD_15924	HEPG2	LINCSCP_90963
0.2882	1.5369e-6	269	NFKB1	CGS001-4790	144 h	LINCSKD_36054	PC3	LINCSCP_90963
0.2792	3.2997e-6	269	STAT3	CGS001-6774	144 h	LINCSKD_36235	PC3	LINCSCP_90963
-0.2751	4.6745e-6	269	JAK3	CGS001-3718	120 h	LINCSKD_31401	VCAP	LINCSCP_90963
0.2749	4.7194e-6	269	NFKB1	CGS001-4790	96 h	LINCSKD_14383	HEKTE	LINCSCP_90963
0.2727	5.6972e-6	269	IL6	CGS001-3569	96 h	LINCSKD_1543	A375	LINCSCP_90963
0.2696	7.3265e-6	269	JAK2	CGS001-3717	144 h	LINCSKD_34365	MCF7	LINCSCP_90963
0.2692	7.538e-6	269	IKBKG	CGS001-8517	96 h	LINCSKD_5139	A549	LINCSCP_90963
0.2666	9.286e-6	269	RELA	CGS001-5970	96 h	LINCSKD_2675	A375	LINCSCP_90963
0.2666	9.2864e-6	269	IKBKE	CGS001-9641	96 h	LINCSKD_9570	HA1E	LINCSCP_90963
0.2655	0	269	JAK1	CGS001-3716	96 h	LINCSKD_1612	A375	LINCSCP_90963
-0.264	0	269	IKBKAP	CGS001-8518	96 h	LINCSKD_19224	HT29	LINCSCP_90963
0.2582	0	269	IKBKE	CGS001-9641	144 h	LINCSKD_26064	PC3	LINCSCP_90963
0.2521	0	269	IL6	CGS001-3569	96 h	LINCSKD_35164	MCF7	LINCSCP_90963
-0.2427	1e-4	269	REL	CGS001-5966	144 h	LINCSKD_34571	MCF7	LINCSCP_90963
0.2415	1e-4	269	STAT5B	CGS001-6777	96 h	LINCSKD_17318	HEPG2	LINCSCP_90963
0.2412	1e-4	269	NFKB1	CGS001-4790	96 h	LINCSKD_16384	HEPG2	LINCSCP_90963
0.2367	1e-4	269	SOCS2	CGS001-8835	144 h	LINCSKD_21982	MCF7	LINCSCP_90963
-0.2346	1e-4	269	STAT6	CGS001-6778	96 h	LINCSKD_24220	MCF7	LINCSCP_90963
0.2328	1e-4	269	STAT6	CGS001-6778	96 h	LINCSKD_13765	HCC515	LINCSCP_90963
0.2303	1e-4	269	STAT6	CGS001-6778	96 h	LINCSKD_11117	HA1E	LINCSCP_90963
0.2298	1e-4	269	IKBKE	CGS001-9641	96 h	LINCSKD_14318	HEKTE	LINCSCP_90963
0.2292	1e-4	269	TNF	CGS001-7124	96 h	LINCSKD_14496	HEKTE	LINCSCP_90963
0.2288	2e-4	269	STAT4	CGS001-6775	96 h	LINCSKD_3065	A375	LINCSCP_90963
-0.2276	2e-4	269	STAT4	CGS001-6775	96 h	LINCSKD_28827	PC3	LINCSCP_90963
0.226	2e-4	269	RELA	CGS001-5970	96 h	LINCSKD_10726	HA1E	LINCSCP_90963
-0.2237	2e-4	269	STAT5B	CGS001-6777	96 h	LINCSKD_37000	PC3	LINCSCP_90963
0.2219	2e-4	269	STAT3	CGS001-6774	96 h	LINCSKD_13763	HCC515	LINCSCP_90963
0.2218	2e-4	269	STAT6	CGS001-6778	96 h	LINCSKD_7928	ASC	LINCSCP_90963
-0.2216	2e-4	269	JAK2	CGS001-3717	96 h	LINCSKD_36726	PC3	LINCSCP_90963
0.2209	3e-4	269	STAT3	CGS001-6774	120 h	LINCSKD_32810	VCAP	LINCSCP_90963
-0.2206	3e-4	269	REL	CGS001-5966	96 h	LINCSKD_23956	MCF7	LINCSCP_90963
0.2202	3e-4	269	TNF	CGS001-7124	120 h	LINCSKD_32982	VCAP	LINCSCP_90963
0.2199	3e-4	269	STAT5A	CGS001-6776	96 h	LINCSKD_17317	HEPG2	LINCSCP_90963
