similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.629	1.8171e-32	282	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_268566
0.5947	2.3005e-28	282	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_268566
0.557	2.2114e-24	282	IL6	CGS001-3569	96 h	LINCSKD_9600	HA1E	LINCSCP_268566
0.5117	3.1926e-20	282	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_268566
0.4941	9.1625e-19	282	IKBKG	CGS001-8517	96 h	LINCSKD_12704	HCC515	LINCSCP_268566
0.492	1.3473e-18	282	SOCS4	CGS001-122809	96 h	LINCSKD_20561	HT29	LINCSCP_268566
0.4842	5.5397e-18	282	SOCS1	CGS001-8651	96 h	LINCSKD_17248	HEPG2	LINCSCP_268566
0.4789	1.4108e-17	282	SOCS2	CGS001-8835	96 h	LINCSKD_11040	HA1E	LINCSCP_268566
0.4634	2.0359e-16	282	SOCS1	CGS001-8651	96 h	LINCSKD_2994	A375	LINCSCP_268566
0.4552	7.8524e-16	282	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_268566
0.4535	1.0451e-15	282	SOCS1	CGS001-8651	96 h	LINCSKD_6595	A549	LINCSCP_268566
0.4497	1.9005e-15	282	SOCS1	CGS001-8651	96 h	LINCSKD_11039	HA1E	LINCSCP_268566
0.4483	2.4081e-15	282	RELB	CGS001-5971	96 h	LINCSKD_13494	HCC515	LINCSCP_268566
0.4474	2.7513e-15	282	IKBKG	CGS001-8517	120 h	LINCSKD_31313	VCAP	LINCSCP_268566
0.4454	3.7768e-15	282	STAT4	CGS001-6775	120 h	LINCSKD_32811	VCAP	LINCSCP_268566
-0.44	8.7534e-15	282	SOCS4	CGS001-122809	120 h	LINCSKD_32740	VCAP	LINCSCP_268566
0.435	1.889e-14	282	IKBKAP	CGS001-8518	120 h	LINCSKD_31310	VCAP	LINCSCP_268566
-0.4246	8.9728e-14	282	NFKB2	CGS001-4791	96 h	LINCSKD_5655	A549	LINCSCP_268566
-0.4185	2.1842e-13	282	STAT2	CGS001-6773	120 h	LINCSKD_32809	VCAP	LINCSCP_268566
0.4142	4.0656e-13	282	STAT2	CGS001-6773	96 h	LINCSKD_11112	HA1E	LINCSCP_268566
0.402	2.2306e-12	282	RELA	CGS001-5970	96 h	LINCSKD_2675	A375	LINCSCP_268566
0.4017	2.3153e-12	282	STAT4	CGS001-6775	96 h	LINCSKD_3065	A375	LINCSCP_268566
0.3994	3.1599e-12	282	STAT6	CGS001-6778	120 h	LINCSKD_32813	VCAP	LINCSCP_268566
-0.3989	3.3812e-12	282	SOCS3	CGS001-9021	96 h	LINCSKD_14474	HEKTE	LINCSCP_268566
-0.3919	8.6406e-12	282	IKBKAP	CGS001-8518	96 h	LINCSKD_12701	HCC515	LINCSCP_268566
-0.3892	1.2435e-11	282	STAT6	CGS001-6778	96 h	LINCSKD_25442	NPC	LINCSCP_268566
