similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4203	0	93	SOCS3	CGS001-9021	96 h	LINCSKD_2996	A375	LINCSCP_19014
0.417	0	93	IKBKB	CGS001-3551	96 h	LINCSKD_9569	HA1E	LINCSCP_19014
0.3997	1e-4	93	IKBKAP	CGS001-8518	120 h	LINCSKD_31310	VCAP	LINCSCP_19014
0.3952	1e-4	93	STAT6	CGS001-6778	120 h	LINCSKD_32813	VCAP	LINCSCP_19014
0.3893	1e-4	93	NFKB1	CGS001-4790	96 h	LINCSKD_19710	HT29	LINCSCP_19014
0.386	1e-4	93	STAT5A	CGS001-6776	96 h	LINCSKD_11115	HA1E	LINCSCP_19014
0.3757	2e-4	93	IKBKE	CGS001-9641	96 h	LINCSKD_7605	ASC	LINCSCP_19014
0.3702	3e-4	93	STAT1	CGS001-6772	96 h	LINCSKD_11111	HA1E	LINCSCP_19014
0.3611	4e-4	93	JAK2	CGS001-3717	120 h	LINCSKD_31400	VCAP	LINCSCP_19014
0.3592	4e-4	93	IKBKAP	CGS001-8518	96 h	LINCSKD_9568	HA1E	LINCSCP_19014
0.3539	5e-4	93	IKBKB	CGS001-3551	96 h	LINCSKD_7604	ASC	LINCSCP_19014
0.3416	8e-4	93	REL	CGS001-5966	96 h	LINCSKD_13493	HCC515	LINCSCP_19014
0.3336	0.0011	93	IL6	CGS001-3569	96 h	LINCSKD_12722	HCC515	LINCSCP_19014
0.3324	0.0011	93	IL6	CGS001-3569	96 h	LINCSKD_1543	A375	LINCSCP_19014
0.3313	0.0012	93	STAT1	CGS001-6772	96 h	LINCSKD_7927	ASC	LINCSCP_19014
0.331	0.0012	93	STAT6	CGS001-6778	96 h	LINCSKD_13765	HCC515	LINCSCP_19014
0.329	0.0013	93	IKBKB	CGS001-3551	96 h	LINCSKD_15895	HEPG2	LINCSCP_19014
0.3206	0.0017	93	SOCS2	CGS001-8835	96 h	LINCSKD_6596	A549	LINCSCP_19014
0.316	0.002	93	RELA	CGS001-5970	96 h	LINCSKD_16955	HEPG2	LINCSCP_19014
0.315	0.0021	93	STAT5B	CGS001-6777	96 h	LINCSKD_11116	HA1E	LINCSCP_19014
0.3065	0.0028	93	REL	CGS001-5966	96 h	LINCSKD_20280	HT29	LINCSCP_19014
0.3039	0.0031	93	IL6ST	CGS001-3572	96 h	LINCSKD_19256	HT29	LINCSCP_19014
0.3021	0.0032	93	STAT1	CGS001-6772	96 h	LINCSKD_29652	SKL	LINCSCP_19014
0.3018	0.0033	93	IL6ST	CGS001-3572	96 h	LINCSKD_1545	A375	LINCSCP_19014
0.2974	0.0038	93	JAK1	CGS001-3716	96 h	LINCSKD_1612	A375	LINCSCP_19014
0.2972	0.0038	93	SOCS2	CGS001-8835	96 h	LINCSKD_2995	A375	LINCSCP_19014
0.2936	0.0043	93	NFKB2	CGS001-4791	96 h	LINCSKD_14384	HEKTE	LINCSCP_19014
0.2906	0.0047	93	NFKB1	CGS001-4790	96 h	LINCSKD_2066	A375	LINCSCP_19014
-0.2904	0.0047	93	STAT3	CGS001-6774	120 h	LINCSKD_32810	VCAP	LINCSCP_19014
0.2868	0.0053	93	SOCS5	CGS001-9655	96 h	LINCSKD_20562	HT29	LINCSCP_19014
0.2856	0.0055	93	IKBKG	CGS001-8517	96 h	LINCSKD_29803	SW480	LINCSCP_19014
0.2837	0.0059	93	STAT1	CGS001-6772	96 h	LINCSKD_24215	MCF7	LINCSCP_19014
0.2833	0.0059	93	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_19014
0.2824	0.0061	93	IKBKB	CGS001-3551	144 h	LINCSKD_26063	PC3	LINCSCP_19014
0.281	0.0064	93	IL6	CGS001-3569	96 h	LINCSKD_35164	MCF7	LINCSCP_19014
0.2768	0.0072	93	IL6	CGS001-3569	96 h	LINCSKD_15923	HEPG2	LINCSCP_19014
0.2758	0.0074	93	IL6R	CGS001-3570	96 h	LINCSKD_9601	HA1E	LINCSCP_19014
0.2756	0.0075	93	TNF	CGS001-7124	96 h	LINCSKD_14496	HEKTE	LINCSCP_19014
