similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.5969	6.6753e-14	130	REL	CGS001-5966	96 h	LINCSKD_2674	A375	LINCSCP_1865
0.5939	9.4561e-14	130	IKBKE	CGS001-9641	96 h	LINCSKD_5138	A549	LINCSCP_1865
-0.5879	1.9302e-13	130	SOCS1	CGS001-8651	96 h	LINCSKD_17248	HEPG2	LINCSCP_1865
-0.5873	2.0603e-13	130	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_1865
0.5865	2.2715e-13	130	STAT6	CGS001-6778	96 h	LINCSKD_3068	A375	LINCSCP_1865
-0.562	3.4716e-12	130	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_1865
0.5613	3.7609e-12	130	IKBKE	CGS001-9641	96 h	LINCSKD_1515	A375	LINCSCP_1865
0.5451	2.0131e-11	130	IKBKB	CGS001-3551	96 h	LINCSKD_27650	PC3	LINCSCP_1865
0.5446	2.1212e-11	130	JAK1	CGS001-3716	96 h	LINCSKD_27721	PC3	LINCSCP_1865
-0.5432	2.4422e-11	130	SOCS1	CGS001-8651	96 h	LINCSKD_2994	A375	LINCSCP_1865
0.5424	2.6272e-11	130	STAT1	CGS001-6772	96 h	LINCSKD_20628	HT29	LINCSCP_1865
-0.5421	2.7257e-11	130	SOCS1	CGS001-8651	96 h	LINCSKD_11039	HA1E	LINCSCP_1865
0.5228	1.771e-10	130	IKBKE	CGS001-9641	144 h	LINCSKD_21583	MCF7	LINCSCP_1865
0.5225	1.8199e-10	130	IKBKE	CGS001-9641	120 h	LINCSKD_31312	VCAP	LINCSCP_1865
0.5156	3.4556e-10	130	STAT5B	CGS001-6777	96 h	LINCSKD_3067	A375	LINCSCP_1865
0.5079	6.9001e-10	130	IL6ST	CGS001-3572	96 h	LINCSKD_5167	A549	LINCSCP_1865
-0.504	9.8216e-10	130	RELA	CGS001-5970	96 h	LINCSKD_2675	A375	LINCSCP_1865
-0.5026	1.1032e-9	130	NFKB1	CGS001-4790	96 h	LINCSKD_28060	PC3	LINCSCP_1865
0.5023	1.1318e-9	130	JAK2	CGS001-3717	144 h	LINCSKD_35976	PC3	LINCSCP_1865
-0.4969	1.8231e-9	130	IL6	CGS001-3569	96 h	LINCSKD_9600	HA1E	LINCSCP_1865
-0.4952	2.104e-9	130	STAT6	CGS001-6778	96 h	LINCSKD_20633	HT29	LINCSCP_1865
0.4918	2.8197e-9	130	IKBKE	CGS001-9641	96 h	LINCSKD_19226	HT29	LINCSCP_1865
0.4916	2.8675e-9	130	IKBKB	CGS001-3551	96 h	LINCSKD_1514	A375	LINCSCP_1865
0.4878	3.956e-9	130	IKBKE	CGS001-9641	96 h	LINCSKD_15896	HEPG2	LINCSCP_1865
0.4865	4.416e-9	130	IL6R	CGS001-3570	96 h	LINCSKD_27674	PC3	LINCSCP_1865
0.4836	5.6099e-9	130	STAT5A	CGS001-6776	96 h	LINCSKD_3066	A375	LINCSCP_1865
0.4833	5.7619e-9	130	IKBKE	CGS001-9641	96 h	LINCSKD_23149	MCF7	LINCSCP_1865
-0.4787	8.3654e-9	130	IKBKG	CGS001-8517	96 h	LINCSKD_12704	HCC515	LINCSCP_1865
0.4768	9.7996e-9	130	JAK1	CGS001-3716	96 h	LINCSKD_19315	HT29	LINCSCP_1865
-0.4629	2.9257e-8	130	NFKB2	CGS001-4791	120 h	LINCSKD_31844	VCAP	LINCSCP_1865
