similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.6485	4.768e-45	366	REL	CGS001-5966	96 h	LINCSKD_28535	PC3	LINCSCP_268810
0.5889	1.5415e-35	366	IKBKAP	CGS001-8518	96 h	LINCSKD_12701	HCC515	LINCSCP_268810
0.5469	6.2487e-30	366	JAK1	CGS001-3716	120 h	LINCSKD_31399	VCAP	LINCSCP_268810
0.5079	2.1336e-25	366	STAT1	CGS001-6772	96 h	LINCSKD_20628	HT29	LINCSCP_268810
0.5047	4.7113e-25	366	JAK1	CGS001-3716	96 h	LINCSKD_19315	HT29	LINCSCP_268810
0.4882	2.5578e-23	366	IKBKE	CGS001-9641	96 h	LINCSKD_5138	A549	LINCSCP_268810
0.4834	7.8028e-23	366	STAT1	CGS001-6772	96 h	LINCSKD_24215	MCF7	LINCSCP_268810
0.482	1.0821e-22	366	IKBKAP	CGS001-8518	96 h	LINCSKD_25018	NPC	LINCSCP_268810
-0.477	3.4248e-22	366	JAK3	CGS001-3718	96 h	LINCSKD_9664	HA1E	LINCSCP_268810
0.4681	2.4945e-21	366	IL6ST	CGS001-3572	96 h	LINCSKD_1545	A375	LINCSCP_268810
0.4668	3.353e-21	366	JAK2	CGS001-3717	144 h	LINCSKD_35976	PC3	LINCSCP_268810
0.4579	2.2578e-20	366	SOCS2	CGS001-8835	96 h	LINCSKD_2995	A375	LINCSCP_268810
-0.4566	2.9688e-20	366	IKBKAP	CGS001-8518	96 h	LINCSKD_29513	SKL	LINCSCP_268810
0.4419	6.3097e-19	366	IL6ST	CGS001-3572	96 h	LINCSKD_5167	A549	LINCSCP_268810
0.4414	6.9499e-19	366	SOCS1	CGS001-8651	96 h	LINCSKD_20559	HT29	LINCSCP_268810
0.4381	1.3623e-18	366	IKBKE	CGS001-9641	96 h	LINCSKD_19226	HT29	LINCSCP_268810
0.4356	2.2263e-18	366	STAT1	CGS001-6772	96 h	LINCSKD_6664	A549	LINCSCP_268810
0.4347	2.6741e-18	366	REL	CGS001-5966	96 h	LINCSKD_23956	MCF7	LINCSCP_268810
-0.4335	3.3554e-18	366	SOCS2	CGS001-8835	96 h	LINCSKD_13715	HCC515	LINCSCP_268810
0.4311	5.3329e-18	366	IKBKE	CGS001-9641	96 h	LINCSKD_23149	MCF7	LINCSCP_268810
0.4266	1.2929e-17	366	REL	CGS001-5966	96 h	LINCSKD_10725	HA1E	LINCSCP_268810
0.4251	1.7107e-17	366	STAT1	CGS001-6772	96 h	LINCSKD_28824	PC3	LINCSCP_268810
0.4249	1.7772e-17	366	JAK1	CGS001-3716	96 h	LINCSKD_5223	A549	LINCSCP_268810
