similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
-0.5508	1.5511e-31	380	REL	CGS001-5966	144 h	LINCSKD_36162	PC3	LINCSCP_56554
0.5041	6.8667e-26	380	JAK1	CGS001-3716	96 h	LINCSKD_5223	A549	LINCSCP_56554
0.4934	1.0369e-24	380	IL6ST	CGS001-3572	96 h	LINCSKD_1545	A375	LINCSCP_56554
0.4764	6.3202e-23	380	NFKB2	CGS001-4791	96 h	LINCSKD_5655	A549	LINCSCP_56554
0.4531	1.2372e-20	380	REL	CGS001-5966	96 h	LINCSKD_10725	HA1E	LINCSCP_56554
0.4356	4.9788e-19	380	IL6ST	CGS001-3572	96 h	LINCSKD_5167	A549	LINCSCP_56554
0.4333	8.0695e-19	380	JAK1	CGS001-3716	96 h	LINCSKD_27721	PC3	LINCSCP_56554
0.4276	2.5305e-18	380	STAT5B	CGS001-6777	96 h	LINCSKD_6669	A549	LINCSCP_56554
0.4272	2.7446e-18	380	STAT4	CGS001-6775	96 h	LINCSKD_28827	PC3	LINCSCP_56554
0.4243	4.8981e-18	380	STAT5A	CGS001-6776	96 h	LINCSKD_20631	HT29	LINCSCP_56554
0.41	7.7717e-17	380	IKBKE	CGS001-9641	120 h	LINCSKD_31312	VCAP	LINCSCP_56554
0.4059	1.6615e-16	380	IL6	CGS001-3569	144 h	LINCSKD_35960	PC3	LINCSCP_56554
0.3999	5.0196e-16	380	STAT5A	CGS001-6776	144 h	LINCSKD_36236	PC3	LINCSCP_56554
0.397	8.5788e-16	380	STAT5B	CGS001-6777	96 h	LINCSKD_37000	PC3	LINCSCP_56554
0.3923	1.9922e-15	380	JAK3	CGS001-3718	120 h	LINCSKD_31401	VCAP	LINCSCP_56554
0.3908	2.5605e-15	380	NFKB2	CGS001-4791	96 h	LINCSKD_23522	MCF7	LINCSCP_56554
0.3906	2.6532e-15	380	STAT1	CGS001-6772	96 h	LINCSKD_29911	SW480	LINCSCP_56554
0.3851	7.0548e-15	380	STAT2	CGS001-6773	120 h	LINCSKD_32809	VCAP	LINCSCP_56554
0.3813	1.3377e-14	380	IKBKE	CGS001-9641	96 h	LINCSKD_23149	MCF7	LINCSCP_56554
0.3717	6.8123e-14	380	REL	CGS001-5966	96 h	LINCSKD_23956	MCF7	LINCSCP_56554
0.3703	8.5653e-14	380	IKBKB	CGS001-3551	96 h	LINCSKD_23148	MCF7	LINCSCP_56554
0.3644	2.2449e-13	380	JAK1	CGS001-3716	96 h	LINCSKD_9662	HA1E	LINCSCP_56554
0.3629	2.8348e-13	380	RELB	CGS001-5971	144 h	LINCSKD_26330	PC3	LINCSCP_56554
0.362	3.2679e-13	380	JAK2	CGS001-3717	96 h	LINCSKD_5224	A549	LINCSCP_56554
0.3535	1.2538e-12	380	REL	CGS001-5966	96 h	LINCSKD_28535	PC3	LINCSCP_56554
0.35	2.1588e-12	380	IKBKB	CGS001-3551	96 h	LINCSKD_15895	HEPG2	LINCSCP_56554
0.342	7.2852e-12	380	IKBKE	CGS001-9641	144 h	LINCSKD_21583	MCF7	LINCSCP_56554
-0.34	9.7342e-12	380	STAT1	CGS001-6772	144 h	LINCSKD_26429	PC3	LINCSCP_56554
0.34	9.7498e-12	380	JAK1	CGS001-3716	144 h	LINCSKD_35975	PC3	LINCSCP_56554
