similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4208	9.0164e-9	172	SOCS2	CGS001-8835	96 h	LINCSKD_29647	SKL	LINCSCP_47405
0.4204	9.386e-9	172	STAT5B	CGS001-6777	96 h	LINCSKD_35495	MCF7	LINCSCP_47405
0.4122	1.9294e-8	172	STAT1	CGS001-6772	120 h	LINCSKD_32808	VCAP	LINCSCP_47405
0.4059	3.3114e-8	172	IKBKE	CGS001-9641	120 h	LINCSKD_31312	VCAP	LINCSCP_47405
0.3966	7.2208e-8	172	TNF	CGS001-7124	96 h	LINCSKD_14496	HEKTE	LINCSCP_47405
0.392	1.0469e-7	172	JAK1	CGS001-3716	120 h	LINCSKD_31399	VCAP	LINCSCP_47405
0.3823	2.2795e-7	172	IKBKAP	CGS001-8518	96 h	LINCSKD_5136	A549	LINCSCP_47405
0.3661	7.8316e-7	172	STAT4	CGS001-6775	96 h	LINCSKD_11114	HA1E	LINCSCP_47405
0.3565	1.5833e-6	172	TNF	CGS001-7124	96 h	LINCSKD_28936	PC3	LINCSCP_47405
0.354	1.8953e-6	172	JAK1	CGS001-3716	96 h	LINCSKD_5223	A549	LINCSCP_47405
0.3504	2.4523e-6	172	JAK1	CGS001-3716	96 h	LINCSKD_9662	HA1E	LINCSCP_47405
0.3476	2.9801e-6	172	JAK3	CGS001-3718	96 h	LINCSKD_5225	A549	LINCSCP_47405
0.3467	3.1719e-6	172	STAT1	CGS001-6772	96 h	LINCSKD_25441	NPC	LINCSCP_47405
0.3382	5.7003e-6	172	JAK1	CGS001-3716	96 h	LINCSKD_27721	PC3	LINCSCP_47405
0.3367	6.3069e-6	172	RELB	CGS001-5971	120 h	LINCSKD_32449	VCAP	LINCSCP_47405
0.3347	7.177e-6	172	STAT4	CGS001-6775	96 h	LINCSKD_28827	PC3	LINCSCP_47405
0.3217	0	172	IKBKE	CGS001-9641	96 h	LINCSKD_25020	NPC	LINCSCP_47405
0.3199	0	172	STAT1	CGS001-6772	96 h	LINCSKD_24215	MCF7	LINCSCP_47405
0.3194	0	172	IL6	CGS001-3569	96 h	LINCSKD_19255	HT29	LINCSCP_47405
0.3184	0	172	NFKB2	CGS001-4791	96 h	LINCSKD_5655	A549	LINCSCP_47405
0.3183	0	172	SOCS5	CGS001-9655	96 h	LINCSKD_28777	PC3	LINCSCP_47405
0.3148	0	172	NFKB1	CGS001-4790	96 h	LINCSKD_19710	HT29	LINCSCP_47405
0.3039	1e-4	172	IKBKB	CGS001-3551	96 h	LINCSKD_27650	PC3	LINCSCP_47405
0.3035	1e-4	172	SOCS5	CGS001-9655	120 h	LINCSKD_32741	VCAP	LINCSCP_47405
